model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,1,0,204,204,1.0,0,0.0,0.061874764600418714,0.0,66.14471147650579,1.264142890636632,0.5833333333333334,0.5245098039215687
M0_HOLD,1,1,23,23,1.0,0,0.0,0.1475481590185504,0.16587677725118483,57.271284253105414,1.0538586311570295,5.260869565217392,16.08695652173913
M0_HOLD,2,0,189,189,1.0,0,0.0,0.001709536941789317,0.0,132.52358280698573,2.5506414570579405,1.0634920634920635,0.8571428571428571
M0_HOLD,2,1,23,23,1.0,0,0.0,0.017537800955253386,0.0,115.73245007343446,2.222757235795098,9.08695652173913,19.391304347826086
M0_HOLD,3,0,175,175,1.0,0,0.0,0.0,0.0,198.41181920440124,3.822962413773182,1.5657142857142856,1.2114285714285715
M0_HOLD,3,1,22,22,1.0,0,0.0,0.0,0.0,173.95354305191813,3.505947129643242,12.181818181818182,20.318181818181817
M0_HOLD,4,0,162,162,1.0,0,0.0,0.0,0.0,264.40825453768593,5.086833073616408,2.067901234567901,1.5679012345679013
M0_HOLD,4,1,20,20,1.0,0,0.0,0.0,0.0,265.8824574140551,4.875342824586315,14.45,21.4
M0_HOLD,5,0,150,150,1.0,0,0.0,0.0,0.0,329.4335268327783,6.344842331707389,2.566666666666667,1.9
M0_HOLD,5,1,18,18,1.0,0,0.0,0.0,0.0,359.46983508680114,6.065028629280333,16.38888888888889,19.61111111111111
M0_HOLD,6,0,138,138,1.0,0,0.0,0.0,0.0,394.3994128512977,7.587385310629357,3.079710144927536,2.217391304347826
M0_HOLD,6,1,17,17,1.0,0,0.0,0.0,0.0,434.8436500628703,7.279465453173785,17.058823529411764,20.58823529411765
M0_HOLD,7,0,126,126,1.0,0,0.0,0.0,0.0,458.994277310174,8.82047778649765,3.5476190476190474,2.484126984126984
M0_HOLD,7,1,16,16,1.0,0,0.0,0.0,0.0,507.0435504307595,7.416371589039658,17.5625,22.0
M0_HOLD,8,0,114,114,1.0,0,0.0,0.0,0.0,521.5346082445161,10.086496138759621,3.973684210526316,2.7280701754385963
M0_HOLD,8,1,15,15,1.0,0,0.0,0.0,0.0,580.379401770945,7.4498147530202665,16.933333333333334,23.4
M0_HOLD,9,0,104,104,1.0,0,0.0,0.0,0.0,586.0873270378534,11.359807762238546,4.480769230769231,3.0961538461538463
M0_HOLD,9,1,13,13,1.0,0,0.0,0.0,0.0,650.12498798308,8.309072773192817,15.615384615384615,23.46153846153846
M0_HOLD,10,0,94,94,1.0,0,0.0,0.0,0.0,650.2155717087412,12.628002254133545,4.968085106382978,3.404255319148936
M0_HOLD,10,1,12,12,1.0,0,0.0,0.0,0.0,723.3082938150214,8.573169303149315,15.5,15.5
M0_HOLD,11,0,84,84,1.0,0,0.0,0.0,0.0,712.6087090890071,13.859016765890557,5.4523809523809526,3.738095238095238
M0_HOLD,11,1,12,12,1.0,0,0.0,0.0,0.0,791.4026848519977,9.43719479566401,15.583333333333334,15.833333333333334
M0_HOLD,12,0,75,75,1.0,0,0.0,0.0,0.0,780.0943853150079,15.1164294670016,5.84,4.0
M0_HOLD,12,1,11,11,1.0,0,0.0,0.0,0.0,857.7983446008741,9.298139688241399,16.545454545454547,15.818181818181818
M0_HOLD,13,0,66,66,1.0,0,0.0,0.0,0.0,842.8031130259712,16.410734421844516,6.166666666666667,4.2272727272727275
M0_HOLD,13,1,11,11,1.0,0,0.0,0.0,0.0,924.3344903226321,10.004654041648555,16.727272727272727,16.272727272727273
M0_HOLD,14,0,57,57,1.0,0,0.0,0.0,0.0,906.7317684960641,17.6554936269008,6.473684210526316,4.43859649122807
M0_HOLD,14,1,11,11,1.0,0,0.0,0.0,0.0,988.9421115515306,10.70083746431433,16.454545454545453,16.545454545454547
M0_HOLD,15,0,48,48,1.0,0,0.0,0.0,0.0,970.4817486476032,20.111624797387954,6.604166666666667,4.520833333333333
M0_HOLD,15,1,11,11,1.0,0,0.0,0.0,0.0,1052.5655561531548,11.385883274921559,16.545454545454547,16.818181818181817
M0_HOLD,16,0,39,39,1.0,0,0.0,0.0,0.0,1032.1090058709883,22.919341847819123,6.589743589743589,4.435897435897436
M0_HOLD,16,1,11,11,1.0,0,0.0,0.0,0.0,1115.121630137269,12.065771968075461,16.545454545454547,17.0
M0_HOLD,17,0,30,30,1.0,0,0.0,0.0,0.0,1092.3555981009235,24.767169625810816,6.166666666666667,4.166666666666667
M0_HOLD,17,1,11,11,1.0,0,0.0,0.0,0.0,1177.1858391944747,12.73530221226309,16.636363636363637,17.545454545454547
M0_HOLD,18,0,23,23,1.0,0,0.0,0.0,0.0,1151.8127017879253,48.4618318817848,5.913043478260869,4.260869565217392
