model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,1,227,227,1.0,0,0.0,0.07055532879256422,0.0,65.73051041943916,1.253390463630942,1.0572687224669604,2.101321585903084
M0_HOLD,2,212,212,1.0,0,0.0,0.0034267542640047588,0.0,131.59502270222836,2.4982448816458307,1.9339622641509433,2.8679245283018866
M0_HOLD,3,197,197,1.0,0,0.0,0.0,0.0,198.12369873389704,3.785604267062987,2.751269035532995,3.3451776649746194
M0_HOLD,4,182,182,1.0,0,0.0,0.0,0.0,264.40825453768593,5.054649292337611,3.4285714285714284,3.7472527472527473
M0_HOLD,5,168,168,1.0,0,0.0,0.0,0.0,330.38024994291493,6.314798791754417,4.0476190476190474,3.7976190476190474
M0_HOLD,6,155,155,1.0,0,0.0,0.0,0.0,395.865191700407,7.585080245492388,4.612903225806452,4.232258064516129
M0_HOLD,7,142,142,1.0,0,0.0,0.0,0.0,461.0764070796986,8.797087170057571,5.126760563380282,4.683098591549296
M0_HOLD,8,129,129,1.0,0,0.0,0.0,0.0,526.6974938235419,9.987276906144137,5.48062015503876,5.131782945736434
M0_HOLD,9,117,117,1.0,0,0.0,0.0,0.0,590.5294234837075,11.218815820077952,5.717948717948718,5.358974358974359
M0_HOLD,10,106,106,1.0,0,0.0,0.0,0.0,655.0771885463141,12.437977853229885,6.160377358490566,4.773584905660377
M0_HOLD,11,96,96,1.0,0,0.0,0.0,0.0,720.8561017813474,13.699162297670892,6.71875,5.25
M0_HOLD,12,86,86,1.0,0,0.0,0.0,0.0,783.0654164707328,14.95276648430523,7.209302325581396,5.511627906976744
M0_HOLD,13,77,77,1.0,0,0.0,0.0,0.0,850.8926195472611,16.16766615029228,7.675324675324675,5.9480519480519485
M0_HOLD,14,68,68,1.0,0,0.0,0.0,0.0,914.8386663006775,17.46951373213204,8.088235294117647,6.397058823529412
M0_HOLD,15,59,59,1.0,0,0.0,0.0,0.0,979.0231100438845,18.701814316472362,8.457627118644067,6.813559322033898
M0_HOLD,16,50,50,1.0,0,0.0,0.0,0.0,1043.6743489471614,19.978380438191913,8.78,7.2
M0_HOLD,17,41,41,1.0,0,0.0,0.0,0.0,1111.1157680457964,24.18523416991025,8.975609756097562,7.7560975609756095
M0_HOLD,18,32,32,1.0,0,0.0,0.0,0.0,1173.5255728965549,25.50354652237872,9.03125,7.28125
M0_HOLD,19,25,25,1.0,0,0.0,0.0,0.0,1236.131061012545,26.657162855947927,9.24,6.64
M0_HOLD,20,19,19,1.0,0,0.0,0.0,0.0,1298.9800806786839,28.87037375758717,9.842105263157896,7.368421052631579
M0_HOLD,21,13,13,1.0,0,0.0,0.0,0.0,1367.6536476754632,56.9855686531443,11.615384615384615,8.153846153846153
M0_HOLD,22,8,8,1.0,0,0.0,0.0,0.0,1426.8938493951132,42.82069144840265,13.875,5.5
M0_HOLD,23,4,4,1.0,0,0.0,0.0,0.0,1493.0526886723035,44.4063798954613,16.0,6.0
M1_INDEPENDENT_CV,1,227,227,1.0,227,1.0,0.932738004631093,0.9534492428491307,1.118033988749895,0.021922235073527353,0.8942731277533039,2.6916299559471364
M1_INDEPENDENT_CV,2,212,212,1.0,207,0.9764150943396226,0.8461916406650816,0.8762755102040816,3.0413812651491097,0.05636087530152925,1.5943396226415094,5.160377358490566
M1_INDEPENDENT_CV,3,197,197,1.0,179,0.9086294416243654,0.7398396856033261,0.7732609658839167,5.70087712549569,0.11206896551724138,2.568527918781726,6.98984771573604
M1_INDEPENDENT_CV,4,182,182,1.0,146,0.8021978021978022,0.63030461246646,0.6639107584465793,9.420385423067351,0.19113583475782056,3.3736263736263736,8.021978021978022
M1_INDEPENDENT_CV,5,168,168,1.0,104,0.6190476190476191,0.5180127350037861,0.5573903910901288,13.779423451842657,0.27413160420919047,4.392857142857143,8.994047619047619
M1_INDEPENDENT_CV,6,155,155,1.0,58,0.3741935483870968,0.4139294501964255,0.4447555459832005,19.235384061671343,0.3853663620436631,4.961290322580645,10.709677419354838
M1_INDEPENDENT_CV,7,142,142,1.0,42,0.29577464788732394,0.3204240015050518,0.3269714256163005,25.5049014897137,0.5044115271165763,5.5,12.985915492957746
M1_INDEPENDENT_CV,8,129,129,1.0,12,0.09302325581395349,0.23891738166155546,0.21475837176659315,32.65348373451139,0.6314324164562065,6.069767441860465,15.503875968992247
M1_INDEPENDENT_CV,9,117,117,1.0,0,0.0,0.16949576096491617,0.11766835626357712,40.792156108742276,0.7861861007534003,6.3076923076923075,15.94017094017094
M1_INDEPENDENT_CV,10,106,106,1.0,0,0.0,0.1144260735658172,0.034871836426005456,50.039984012787215,0.9760012666838567,6.89622641509434,16.92452830188679
M1_INDEPENDENT_CV,11,96,96,1.0,0,0.0,0.0776420876042588,0.0,59.96456113478469,1.1613290247008992,7.364583333333333,20.40625
M1_INDEPENDENT_CV,12,86,86,1.0,0,0.0,0.05192220446381646,0.0,69.45254772755592,1.340501515484517,8.116279069767442,23.3953488372093
M1_INDEPENDENT_CV,13,77,77,1.0,0,0.0,0.029732636484344502,0.0,80.94751385929032,1.620615221060445,8.61038961038961,27.493506493506494
M1_INDEPENDENT_CV,14,68,68,1.0,0,0.0,0.011918778092618728,0.0,92.52769835591172,1.9105678058741322,9.411764705882353,32.19117647058823
M1_INDEPENDENT_CV,15,59,59,1.0,0,0.0,0.0026180183120546887,0.0,104.06848706500926,2.3086846088110238,10.084745762711865,39.28813559322034
M1_INDEPENDENT_CV,16,50,50,1.0,0,0.0,0.0,0.0,118.931084591829,2.6861713259768996,11.9,47.68
M1_INDEPENDENT_CV,17,41,41,1.0,0,0.0,0.0,0.0,131.4201278343618,3.0957134622373847,11.878048780487806,59.90243902439025
M1_INDEPENDENT_CV,18,32,32,1.0,0,0.0,0.0,0.0,147.4454905302535,4.724037097264717,12.65625,53.78125
M1_INDEPENDENT_CV,19,25,25,1.0,0,0.0,0.0,0.0,164.5007598766644,6.708365683151812,15.04,68.64
M1_INDEPENDENT_CV,20,19,19,1.0,0,0.0,0.0,0.0,183.4972751841291,7.541695441934054,17.526315789473685,91.36842105263158
M1_INDEPENDENT_CV,21,13,13,1.0,0,0.0,0.0,0.0,195.5057543910153,8.42317668590904,19.0,60.53846153846154
M1_INDEPENDENT_CV,22,8,8,1.0,0,0.0,0.0,0.0,217.37269273509804,9.138188611003333,26.375,89.25
M1_INDEPENDENT_CV,23,4,4,1.0,0,0.0,0.0,0.0,239.15389708748742,10.472831193464724,21.75,174.0
M2_SHARED_OPEN_LOOP,1,227,227,1.0,174,0.7665198237885462,0.6149069514496036,0.6031352659789061,11.01135777277262,0.20435502885423984,1.0572687224669604,2.101321585903084
M2_SHARED_OPEN_LOOP,2,212,212,1.0,73,0.3443396226415094,0.405945922778663,0.36300618089035286,22.147234590350102,0.40659942069076227,1.9339622641509433,2.8679245283018866
M2_SHARED_OPEN_LOOP,3,197,197,1.0,37,0.18781725888324874,0.27459571670242844,0.20884787623829557,32.28002478313795,0.6065568012305959,2.751269035532995,3.3451776649746194
M2_SHARED_OPEN_LOOP,4,182,182,1.0,13,0.07142857142857142,0.19079102659055733,0.10915087780106078,42.64093631735187,0.8014043705654772,3.4285714285714284,3.7472527472527473
M2_SHARED_OPEN_LOOP,5,168,168,1.0,5,0.02976190476190476,0.13743281161595575,0.057745708937937894,52.16285314578941,1.0008743830960611,4.0476190476190474,3.7976190476190474
M2_SHARED_OPEN_LOOP,6,155,155,1.0,3,0.01935483870967742,0.10057128872784142,0.01077449613385727,62.96427558544607,1.1478590245603553,4.612903225806452,4.232258064516129
M2_SHARED_OPEN_LOOP,7,142,142,1.0,2,0.014084507042253521,0.07539430080873641,0.0,72.01542649080794,1.3387317381582857,5.126760563380282,4.683098591549296
M2_SHARED_OPEN_LOOP,8,129,129,1.0,1,0.007751937984496124,0.0572892127180741,0.0,82.80247580839597,1.5133986287237835,5.48062015503876,5.131782945736434
M2_SHARED_OPEN_LOOP,9,117,117,1.0,1,0.008547008547008548,0.04283031769012143,0.0,93.21111789910043,1.7350495599334708,5.717948717948718,5.358974358974359
