model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,1,condor,9,9,1.0,0,0.0,0.3688504880788528,0.36541613975926185,74.28492444635049,0.44283023374308467,1.4444444444444444,16.333333333333332
M0_HOLD,1,hangar,4,4,1.0,0,0.0,0.41144282969136275,0.3958602461761769,50.47203756422033,0.3926588709946708,1.25,18.0
M0_HOLD,1,helicopter,17,17,1.0,0,0.0,0.14397703106064955,0.14116177389131793,70.56380091803446,0.7454469727862011,0.8823529411764706,4.588235294117647
M0_HOLD,1,jammer,11,11,1.0,0,0.0,0.0,0.0,72.58443359288546,2.2519522780245587,0.45454545454545453,1.8181818181818181
M0_HOLD,1,jet_plane,20,20,1.0,0,0.0,0.1504032456021484,0.1508126405857187,59.54297465995167,0.7665751087931527,0.55,0.7
M0_HOLD,1,large_launcher,23,23,1.0,0,0.0,0.2186407160390495,0.21796024014092102,68.24954212300622,0.6204503829364202,3.9565217391304346,0.4782608695652174
M0_HOLD,1,large_tower,17,17,1.0,0,0.0,0.033307236203811784,0.02595750095431989,61.58327695080865,0.9775123325525183,0.6470588235294118,0.7058823529411765
M0_HOLD,1,medium_launcher,8,8,1.0,0,0.0,0.0,0.0,57.13673859668873,1.2492091910883558,5.0,0.25
M0_HOLD,1,medium_plane,3,3,1.0,0,0.0,0.0,0.0,54.74486277268398,1.1172420974017139,0.6666666666666666,0.3333333333333333
M0_HOLD,1,small_launcher,23,23,1.0,0,0.0,0.0,0.0,63.00793600809346,2.8916312335645906,0.2608695652173913,0.30434782608695654
M0_HOLD,1,small_plane,7,7,1.0,0,0.0,0.0,0.0,76.00657866263946,1.7806548535067297,0.42857142857142855,0.42857142857142855
M0_HOLD,1,small_tower,18,18,1.0,0,0.0,0.0,0.0,70.2362056286937,1.2348323455795303,0.6111111111111112,2.2777777777777777
M0_HOLD,1,spacecraft,21,21,1.0,0,0.0,0.0,0.0,68.56566195990527,1.5454433220692354,0.47619047619047616,2.3333333333333335
M0_HOLD,1,ta-ta,23,23,1.0,0,0.0,0.0,0.0,65.27633568147036,3.8397844518511977,0.391304347826087,0.4782608695652174
M0_HOLD,1,tank,23,23,1.0,0,0.0,0.0,0.0,60.530983801686226,1.2859167317130706,0.34782608695652173,0.391304347826087
M0_HOLD,2,condor,8,8,1.0,0,0.0,0.05616833209557466,0.055843137405883175,148.54827212302015,0.8889635357187382,2.875,26.125
M0_HOLD,2,hangar,3,3,1.0,0,0.0,0.09237508240147048,0.08390177353342429,100.92695378341705,0.7823794866931554,3.0,30.333333333333332
M0_HOLD,2,helicopter,16,16,1.0,0,0.0,0.0,0.0,140.8675424363869,1.4831553419044365,1.8125,5.6875
M0_HOLD,2,jammer,10,10,1.0,0,0.0,0.0,0.0,148.64220229456612,4.465789968468064,0.5,1.9
M0_HOLD,2,jet_plane,19,19,1.0,0,0.0,0.0,0.0,119.08505363814554,1.526628985157817,1.105263157894737,1.3157894736842106
M0_HOLD,2,large_launcher,22,22,1.0,0,0.0,0.0,0.0,136.40485676744396,1.2400441524313086,7.318181818181818,0.8636363636363636
