model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,1,16-32,62,62,1.0,0,0.0,0.18797738126617078,0.16257518529126672,65.33148747242718,0.7237929463850074,1.9193548387096775,2.6451612903225805
M0_HOLD,1,4-<8,43,43,1.0,0,0.0,0.0,0.0,63.00793600809346,3.0165747117699158,0.6511627906976745,1.5813953488372092
M0_HOLD,1,8-<16,105,105,1.0,0,0.0,0.010061696030649525,0.0,66.09841147864296,1.2907422767539616,0.6095238095238096,1.7904761904761906
M0_HOLD,1,<4,8,8,1.0,0,0.0,0.0,0.0,72.81382792846517,5.328808858659219,2.0,5.5
M0_HOLD,1,>32,9,9,1.0,0,0.0,0.367220434910143,0.3659060018599328,74.28492444635049,0.44217216932351483,1.4444444444444444,1.4444444444444444
M0_HOLD,2,16-32,58,58,1.0,0,0.0,0.002975994745339633,0.0,131.1916038744297,1.449208530972634,3.689655172413793,3.3620689655172415
M0_HOLD,2,4-<8,41,41,1.0,0,0.0,0.0,0.0,126.00892825510421,6.022366942629984,1.1219512195121952,1.6829268292682926
M0_HOLD,2,8-<16,97,97,1.0,0,0.0,0.0007186680224189788,0.0,132.45754036671525,2.5819552916081623,0.9896907216494846,2.670103092783505
M0_HOLD,2,<4,8,8,1.0,0,0.0,0.0,0.0,144.3825687583327,10.584773385013758,3.75,5.625
M0_HOLD,2,>32,8,8,1.0,0,0.0,0.060519176320583644,0.05694993860618432,148.54827212302015,0.8789789993693092,3.0,5.0
M0_HOLD,3,16-32,54,54,1.0,0,0.0,0.0,0.0,198.30145839479587,2.176235513207027,5.296296296296297,2.7777777777777777
M0_HOLD,3,4-<8,39,39,1.0,0,0.0,0.0,0.0,189.40564933496572,9.087892608327383,1.3333333333333333,1.7179487179487178
M0_HOLD,3,8-<16,89,89,1.0,0,0.0,0.0,0.0,199.18144993949613,3.8798066962156765,1.4382022471910112,3.134831460674157
M0_HOLD,3,<4,8,8,1.0,0,0.0,0.0,0.0,217.3627912637707,15.785734676092861,5.75,6.0
M0_HOLD,3,>32,7,7,1.0,0,0.0,0.0,0.0,222.81157959136684,1.310656350537452,4.285714285714286,16.428571428571427
M0_HOLD,4,16-32,51,51,1.0,0,0.0,0.0,0.0,263.70912005465414,2.887159869323129,6.686274509803922,3.4313725490196076
M0_HOLD,4,4-<8,37,37,1.0,0,0.0,0.0,0.0,253.024208327978,12.189239612333076,1.5675675675675675,1.972972972972973
M0_HOLD,4,8-<16,81,81,1.0,0,0.0,0.0,0.0,265.3723798740178,5.161369338111561,1.8518518518518519,3.54320987654321
M0_HOLD,4,<4,8,8,1.0,0,0.0,0.0,0.0,288.56340778888784,20.897786507335347,6.0,6.125
M0_HOLD,4,>32,5,5,1.0,0,0.0,0.0,0.0,299.63018873271096,1.748026556544095,5.4,19.6
M0_HOLD,5,16-32,48,48,1.0,0,0.0,0.0,0.0,330.8040576993877,3.6025157549099127,7.833333333333333,4.020833333333333
M0_HOLD,5,4-<8,35,35,1.0,0,0.0,0.0,0.0,316.4731426203494,15.124597931974195,1.7142857142857142,2.0285714285714285
M0_HOLD,5,8-<16,74,74,1.0,0,0.0,0.0,0.0,331.6061415299804,6.433150593932418,2.3378378378378377,4.027027027027027
M0_HOLD,5,<4,8,8,1.0,0,0.0,0.0,0.0,357.89261686303735,25.94045502890333,6.25,6.5
M0_HOLD,5,>32,3,3,1.0,0,0.0,0.0,0.0,377.4019740276937,2.1749865907831527,7.0,8.0
M0_HOLD,6,16-32,45,45,1.0,0,0.0,0.0,0.0,395.34447005111883,4.323353548706168,8.733333333333333,4.644444444444445
M0_HOLD,6,4-<8,33,33,1.0,0,0.0,0.0,0.0,381.0472411657116,18.04536396641889,1.9393939393939394,2.212121212121212
M0_HOLD,6,8-<16,67,67,1.0,0,0.0,0.0,0.0,396.8330883381576,7.708761249383716,2.8358208955223883,4.507462686567164
M0_HOLD,6,<4,8,8,1.0,0,0.0,0.0,0.0,426.2025635753416,30.892549643193078,6.375,6.625
M0_HOLD,6,>32,2,2,1.0,0,0.0,0.0,0.0,452.95377916567924,2.5956914530425665,8.5,9.5
M0_HOLD,7,16-32,42,42,1.0,0,0.0,0.0,0.0,464.26028095359277,5.010645519274528,9.642857142857142,5.285714285714286
M0_HOLD,7,4-<8,31,31,1.0,0,0.0,0.0,0.0,443.5890553203494,20.915585581734096,2.161290322580645,2.3870967741935485
