model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,1,16-32,63,63,1.0,63,1.0,0.9600180824494833,0.9721554116558742,2.556221382001152,1.118033988749895,0.011893978603722287,1.0952380952380953,3.746031746031746
CV,1,4-<8,42,42,1.0,42,1.0,0.902127614830749,0.903125,1.0155891669035215,1.0590169943749475,0.04971495009263367,0.5476190476190477,0.7380952380952381
CV,1,8-<16,108,108,1.0,108,1.0,0.9299720235824762,0.9411764705882353,2.04901787686712,1.118033988749895,0.023787957207444574,0.9166666666666666,2.5555555555555554
CV,1,<4,5,5,1.0,5,1.0,0.8175258179693408,0.7906976744186046,1.368372892345421,1.5811388300841898,0.10540925533894599,0.8,0.6
CV,1,>32,9,9,1.0,9,1.0,0.9818244885883433,0.9823852955510687,4.032663555040568,1.118033988749895,0.0067351445105415355,0.8888888888888888,7.222222222222222
CV,2,16-32,59,59,1.0,58,0.9830508474576272,0.911540185752242,0.9311568488289567,5.41479189190851,3.0413812651491097,0.03185165681020485,2.0677966101694913,6.169491525423729
CV,2,4-<8,40,40,1.0,40,1.0,0.7564255371342254,0.7810632470119522,2.778674792370829,2.5495097567963922,0.14594325141111325,1.05,1.275
CV,2,8-<16,101,101,1.0,98,0.9702970297029703,0.8460298018853328,0.8691358024691358,4.679643881672869,3.0413812651491097,0.06202691063039891,1.5841584158415842,4.594059405940594
CV,2,<4,4,4,1.0,3,0.75,0.5846756334751285,0.6071323763955343,3.574539711268341,3.3618556388582634,0.23053461974190148,1.25,1.5
CV,2,>32,8,8,1.0,8,1.0,0.9458778564908572,0.9544212750272927,13.732500848034215,3.348905783050559,0.019638635085953877,1.125,26.125
CV,3,16-32,55,55,1.0,53,0.9636363636363636,0.853375979996736,0.8710700132100396,9.008101906202421,5.5901699437494745,0.059809196378005955,3.418181818181818,8.036363636363637
CV,3,4-<8,39,39,1.0,31,0.7948717948717948,0.5827893328220041,0.6176470588235294,5.465877525423372,5.5,0.28125,1.358974358974359,1.5128205128205128
CV,3,8-<16,93,93,1.0,88,0.946236559139785,0.7387784627986372,0.7637075718015666,8.474186726232485,6.020797289396148,0.12790697674418605,2.6774193548387095,7.139784946236559
CV,3,<4,3,3,1.0,0,0.0,0.3609332217826457,0.37383177570093457,6.4631289281238535,6.519202405202649,0.46565731465733207,1.3333333333333333,1.3333333333333333
CV,3,>32,7,7,1.0,7,1.0,0.8992512111936307,0.9176112279820402,16.7884688586196,7.0178344238090995,0.04033238174602931,1.7142857142857142,29.714285714285715
CV,4,16-32,51,51,1.0,50,0.9803921568627451,0.7912611694193823,0.8038852913968547,12.238565150220026,9.340770846134703,0.0976621440265231,5.117647058823529,7.313725490196078
CV,4,4-<8,38,38,1.0,11,0.2894736842105263,0.4015524885745153,0.42055341606047636,9.05594736108212,8.930011286667337,0.45581751041181723,1.8421052631578947,2.1052631578947367
CV,4,8-<16,85,85,1.0,79,0.9294117647058824,0.6327274605920876,0.6495049504950495,12.797474289037561,9.5524865872714,0.19445911938612198,3.1058823529411765,9.352941176470589
CV,4,<4,2,2,1.0,0,0.0,0.09390403467855912,0.09390403467855912,11.146758286230725,11.146758286230725,0.7961970204450518,2.5,2.0
CV,4,>32,6,6,1.0,6,1.0,0.8554138404985113,0.8714297574156395,19.579270725391023,11.411955276646836,0.06539640312718847,2.3333333333333335,34.666666666666664
CV,5,16-32,48,48,1.0,47,0.9791666666666666,0.7154828117007517,0.7238602054653884,17.432423248158823,13.837927949363667,0.1476587770384173,7.375,9.0
CV,5,4-<8,37,37,1.0,1,0.02702702702702703,0.237059236215017,0.24155405405405406,13.500317614955048,13.5,0.6956521739130435,2.135135135135135,2.4324324324324325
CV,5,8-<16,77,77,1.0,51,0.6623376623376623,0.5192395271884024,0.5390796201607012,17.1977806258028,14.0089257261219,0.28743098055545313,3.7662337662337664,10.025974025974026
CV,5,<4,1,1,1.0,0,0.0,0.0,0.0,18.0,18.0,1.2857142857142858,2.0,4.0
CV,5,>32,5,5,1.0,5,1.0,0.7860658371074705,0.813544179397838,22.02701591900087,16.0,0.09204467514322717,2.6,42.6
CV,6,16-32,45,45,1.0,44,0.9777777777777777,0.6335842525219609,0.6443156369384798,23.051091097053263,19.557607215607945,0.20379721011381702,8.0,10.88888888888889
CV,6,4-<8,36,36,1.0,0,0.0,0.1193398861501224,0.08106355382619973,18.879866433826365,19.016437699594327,0.9673913043478262,2.7222222222222223,2.7777777777777777
CV,6,8-<16,70,70,1.0,10,0.14285714285714285,0.4060467133859281,0.41372041809751925,23.67180445237706,19.2901278678422,0.3980172984486381,4.242857142857143,12.542857142857143
CV,6,>32,4,4,1.0,4,1.0,0.732066894634585,0.7579929824444067,23.909389035061885,22.354579090514157,0.1281050431331708,3.5,48.0
CV,7,16-32,42,42,1.0,39,0.9285714285714286,0.551679652032137,0.5574356843638006,29.735309909135076,25.96772457366349,0.2719046261256395,8.833333333333334,13.214285714285714
CV,7,4-<8,34,34,1.0,0,0.0,0.0474729710919346,0.0,25.234867164135316,25.775447175374058,1.2747351395478304,3.2941176470588234,3.2058823529411766
CV,7,8-<16,63,63,1.0,0,0.0,0.2966940892721641,0.30548302872062666,31.188153208046145,25.22399651125888,0.5217106312867758,4.555555555555555,15.714285714285714
CV,7,>32,3,3,1.0,3,1.0,0.6746180623651638,0.6867335562987736,23.221122994023705,29.769951293208393,0.17011400738976226,3.6666666666666665,63.333333333333336
CV,8,16-32,39,39,1.0,11,0.28205128205128205,0.467520647505289,0.47164696953269003,37.6049427097931,33.0,0.35,9.743589743589743,15.846153846153847
CV,8,4-<8,32,32,1.0,0,0.0,0.009672511229678086,0.0,32.07274155115835,33.15270248338089,1.5996737132785,3.71875,3.53125
CV,8,8-<16,56,56,1.0,0,0.0,0.19813821890352723,0.20701799067569385,39.850474414967216,32.519221448142446,0.6568368273257201,4.910714285714286,19.035714285714285
CV,8,>32,2,2,1.0,1,0.5,0.5908881818435805,0.5908881818435805,20.24140019301077,20.24140019301077,0.424113429726966,4.5,101.5
CV,9,16-32,36,36,1.0,0,0.0,0.38716502501133276,0.38968067871172885,46.450905997469214,41.39730467465583,0.43631017507327935,10.527777777777779,18.694444444444443
CV,9,4-<8,30,30,1.0,0,0.0,0.0,0.0,39.98877709735514,40.04154736324004,1.9725160770651557,3.966666666666667,3.966666666666667
CV,9,8-<16,50,50,1.0,0,0.0,0.10971480956049938,0.10120394038507632,47.41920463567206,40.684621619644616,0.8044661861556007,4.7,18.6
