model_a,model_b,horizon,count,a_valid,b_valid,a_only,b_only
T_FIXED,T_RES_CV,1,227,175,227,0,52
T_FIXED,T_RES_CV,2,212,73,201,0,128
T_FIXED,T_RES_CV,3,197,36,170,0,134
T_FIXED,T_RES_CV,4,182,8,135,1,128
T_FIXED,T_RES_CV,5,168,0,99,0,99
T_FIXED,T_RES_CV,6,155,0,78,0,78
T_FIXED,T_RES_CV,7,142,0,55,0,55
T_FIXED,T_RES_CV,8,129,0,34,0,34
T_FIXED,T_RES_CV,9,117,0,21,0,21
T_FIXED,T_RES_CV,10,106,0,14,0,14
T_FIXED,T_RES_CV,11,96,0,4,0,4
T_FIXED,T_RES_CV,12,86,0,4,0,4
T_FIXED,T_RES_CV,13,77,0,1,0,1
T_FIXED,T_RES_CV,14,68,0,0,0,0
T_FIXED,T_RES_CV,15,59,0,0,0,0
T_FIXED,T_RES_CV,16,50,0,0,0,0
T_FIXED,T_RES_CV,17,41,0,0,0,0
T_FIXED,T_RES_CV,18,32,0,0,0,0
T_FIXED,T_RES_CV,19,25,0,0,0,0
T_FIXED,T_RES_CV,20,19,0,0,0,0
T_FIXED,T_RES_CV,21,13,0,0,0,0
T_FIXED,T_RES_CV,22,8,0,0,0,0
T_FIXED,T_RES_CV,23,4,0,0,0,0
T_FIXED,S_FIXED,1,243,182,230,0,48
T_FIXED,S_FIXED,2,227,78,205,0,127
T_FIXED,S_FIXED,3,212,38,159,0,121
T_FIXED,S_FIXED,4,197,9,119,0,110
T_FIXED,S_FIXED,5,182,1,94,0,93
T_FIXED,S_FIXED,6,168,0,79,0,79
T_FIXED,S_FIXED,7,155,0,62,0,62
T_FIXED,S_FIXED,8,142,0,43,0,43
T_FIXED,S_FIXED,9,129,0,33,0,33
T_FIXED,S_FIXED,10,117,0,22,0,22
T_FIXED,S_FIXED,11,106,0,15,0,15
T_FIXED,S_FIXED,12,96,0,7,0,7
T_FIXED,S_FIXED,13,86,0,5,0,5
T_FIXED,S_FIXED,14,77,0,3,0,3
T_FIXED,S_FIXED,15,68,0,2,0,2
T_FIXED,S_FIXED,16,59,0,1,0,1
T_FIXED,S_FIXED,17,50,0,1,0,1
T_FIXED,S_FIXED,18,41,0,0,0,0
T_FIXED,S_FIXED,19,32,0,0,0,0
T_FIXED,S_FIXED,20,25,0,0,0,0
T_FIXED,S_FIXED,21,19,0,0,0,0
T_FIXED,S_FIXED,22,13,0,0,0,0
T_FIXED,S_FIXED,23,8,0,0,0,0
T_FIXED,S_FIXED,24,4,0,0,0,0
T_FIXED,S_RES_CV,1,227,175,227,0,52
T_FIXED,S_RES_CV,2,212,73,205,0,132
T_FIXED,S_RES_CV,3,197,36,181,0,145
T_FIXED,S_RES_CV,4,182,8,162,0,154
T_FIXED,S_RES_CV,5,168,0,140,0,140
T_FIXED,S_RES_CV,6,155,0,117,0,117
T_FIXED,S_RES_CV,7,142,0,92,0,92
T_FIXED,S_RES_CV,8,129,0,72,0,72
T_FIXED,S_RES_CV,9,117,0,54,0,54
T_FIXED,S_RES_CV,10,106,0,38,0,38
T_FIXED,S_RES_CV,11,96,0,28,0,28
T_FIXED,S_RES_CV,12,86,0,16,0,16
T_FIXED,S_RES_CV,13,77,0,10,0,10
T_FIXED,S_RES_CV,14,68,0,9,0,9
T_FIXED,S_RES_CV,15,59,0,3,0,3
T_FIXED,S_RES_CV,16,50,0,0,0,0
T_FIXED,S_RES_CV,17,41,0,1,0,1
T_FIXED,S_RES_CV,18,32,0,0,0,0
T_FIXED,S_RES_CV,19,25,0,1,0,1
T_FIXED,S_RES_CV,20,19,0,1,0,1
T_FIXED,S_RES_CV,21,13,0,1,0,1
T_FIXED,S_RES_CV,22,8,0,1,0,1
T_FIXED,S_RES_CV,23,4,0,0,0,0
T_FIXED,S_SCALE,1,243,182,230,0,48
T_FIXED,S_SCALE,2,227,78,205,0,127
T_FIXED,S_SCALE,3,212,38,159,0,121
T_FIXED,S_SCALE,4,197,9,121,0,112
T_FIXED,S_SCALE,5,182,1,96,0,95
T_FIXED,S_SCALE,6,168,0,80,0,80
T_FIXED,S_SCALE,7,155,0,63,0,63
T_FIXED,S_SCALE,8,142,0,46,0,46
T_FIXED,S_SCALE,9,129,0,35,0,35
T_FIXED,S_SCALE,10,117,0,26,0,26
T_FIXED,S_SCALE,11,106,0,18,0,18
T_FIXED,S_SCALE,12,96,0,11,0,11
T_FIXED,S_SCALE,13,86,0,6,0,6
T_FIXED,S_SCALE,14,77,0,5,0,5
T_FIXED,S_SCALE,15,68,0,3,0,3
T_FIXED,S_SCALE,16,59,0,3,0,3
T_FIXED,S_SCALE,17,50,0,2,0,2
T_FIXED,S_SCALE,18,41,0,2,0,2
T_FIXED,S_SCALE,19,32,0,1,0,1
T_FIXED,S_SCALE,20,25,0,0,0,0
T_FIXED,S_SCALE,21,19,0,0,0,0
T_FIXED,S_SCALE,22,13,0,0,0,0
T_FIXED,S_SCALE,23,8,0,0,0,0
T_FIXED,S_SCALE,24,4,0,0,0,0
T_FIXED,S_RES_SCALE,1,227,175,225,0,50
T_FIXED,S_RES_SCALE,2,212,73,201,0,128
T_FIXED,S_RES_SCALE,3,197,36,182,0,146
T_FIXED,S_RES_SCALE,4,182,8,161,0,153
T_FIXED,S_RES_SCALE,5,168,0,141,0,141
T_FIXED,S_RES_SCALE,6,155,0,120,0,120
T_FIXED,S_RES_SCALE,7,142,0,92,0,92
T_FIXED,S_RES_SCALE,8,129,0,76,0,76
T_FIXED,S_RES_SCALE,9,117,0,57,0,57
T_FIXED,S_RES_SCALE,10,106,0,38,0,38
T_FIXED,S_RES_SCALE,11,96,0,32,0,32
T_FIXED,S_RES_SCALE,12,86,0,18,0,18
T_FIXED,S_RES_SCALE,13,77,0,12,0,12
T_FIXED,S_RES_SCALE,14,68,0,10,0,10
T_FIXED,S_RES_SCALE,15,59,0,5,0,5
T_FIXED,S_RES_SCALE,16,50,0,1,0,1
T_FIXED,S_RES_SCALE,17,41,0,1,0,1
T_FIXED,S_RES_SCALE,18,32,0,1,0,1
T_FIXED,S_RES_SCALE,19,25,0,0,0,0
T_FIXED,S_RES_SCALE,20,19,0,1,0,1
T_FIXED,S_RES_SCALE,21,13,0,1,0,1
T_FIXED,S_RES_SCALE,22,8,0,0,0,0
T_FIXED,S_RES_SCALE,23,4,0,0,0,0
T_RES_CV,S_FIXED,1,227,227,220,7,0
T_RES_CV,S_FIXED,2,212,201,196,13,8
T_RES_CV,S_FIXED,3,197,170,152,33,15
T_RES_CV,S_FIXED,4,182,135,115,40,20
T_RES_CV,S_FIXED,5,168,99,90,34,25
T_RES_CV,S_FIXED,6,155,78,75,26,23
T_RES_CV,S_FIXED,7,142,55,59,21,25
T_RES_CV,S_FIXED,8,129,34,40,19,25
T_RES_CV,S_FIXED,9,117,21,29,15,23
T_RES_CV,S_FIXED,10,106,14,20,10,16
T_RES_CV,S_FIXED,11,96,4,13,3,12
T_RES_CV,S_FIXED,12,86,4,6,4,6
T_RES_CV,S_FIXED,13,77,1,4,1,4
T_RES_CV,S_FIXED,14,68,0,2,0,2
T_RES_CV,S_FIXED,15,59,0,2,0,2
T_RES_CV,S_FIXED,16,50,0,1,0,1
T_RES_CV,S_FIXED,17,41,0,1,0,1
T_RES_CV,S_FIXED,18,32,0,0,0,0
T_RES_CV,S_FIXED,19,25,0,0,0,0
T_RES_CV,S_FIXED,20,19,0,0,0,0
T_RES_CV,S_FIXED,21,13,0,0,0,0
T_RES_CV,S_FIXED,22,8,0,0,0,0
T_RES_CV,S_FIXED,23,4,0,0,0,0
T_RES_CV,S_RES_CV,1,227,227,227,0,0
T_RES_CV,S_RES_CV,2,212,201,205,1,5
T_RES_CV,S_RES_CV,3,197,170,181,1,12
T_RES_CV,S_RES_CV,4,182,135,162,1,28
T_RES_CV,S_RES_CV,5,168,99,140,2,43
T_RES_CV,S_RES_CV,6,155,78,117,3,42
T_RES_CV,S_RES_CV,7,142,55,92,4,41
T_RES_CV,S_RES_CV,8,129,34,72,1,39
T_RES_CV,S_RES_CV,9,117,21,54,0,33
T_RES_CV,S_RES_CV,10,106,14,38,1,25
T_RES_CV,S_RES_CV,11,96,4,28,0,24
T_RES_CV,S_RES_CV,12,86,4,16,0,12
T_RES_CV,S_RES_CV,13,77,1,10,0,9
T_RES_CV,S_RES_CV,14,68,0,9,0,9
T_RES_CV,S_RES_CV,15,59,0,3,0,3
T_RES_CV,S_RES_CV,16,50,0,0,0,0
T_RES_CV,S_RES_CV,17,41,0,1,0,1
T_RES_CV,S_RES_CV,18,32,0,0,0,0
T_RES_CV,S_RES_CV,19,25,0,1,0,1
T_RES_CV,S_RES_CV,20,19,0,1,0,1
T_RES_CV,S_RES_CV,21,13,0,1,0,1
T_RES_CV,S_RES_CV,22,8,0,1,0,1
T_RES_CV,S_RES_CV,23,4,0,0,0,0
T_RES_CV,S_SCALE,1,227,227,220,7,0
T_RES_CV,S_SCALE,2,212,201,196,13,8
T_RES_CV,S_SCALE,3,197,170,152,33,15
T_RES_CV,S_SCALE,4,182,135,116,39,20
T_RES_CV,S_SCALE,5,168,99,92,32,25
T_RES_CV,S_SCALE,6,155,78,76,25,23
T_RES_CV,S_SCALE,7,142,55,60,20,25
T_RES_CV,S_SCALE,8,129,34,43,18,27
T_RES_CV,S_SCALE,9,117,21,32,14,25
T_RES_CV,S_SCALE,10,106,14,24,9,19
T_RES_CV,S_SCALE,11,96,4,16,3,15
T_RES_CV,S_SCALE,12,86,4,9,3,8
T_RES_CV,S_SCALE,13,77,1,5,1,5
T_RES_CV,S_SCALE,14,68,0,4,0,4
T_RES_CV,S_SCALE,15,59,0,3,0,3
T_RES_CV,S_SCALE,16,50,0,3,0,3
T_RES_CV,S_SCALE,17,41,0,2,0,2
T_RES_CV,S_SCALE,18,32,0,2,0,2
T_RES_CV,S_SCALE,19,25,0,1,0,1
T_RES_CV,S_SCALE,20,19,0,0,0,0
T_RES_CV,S_SCALE,21,13,0,0,0,0
T_RES_CV,S_SCALE,22,8,0,0,0,0
T_RES_CV,S_SCALE,23,4,0,0,0,0
T_RES_CV,S_RES_SCALE,1,227,227,225,2,0
T_RES_CV,S_RES_SCALE,2,212,201,201,5,5
T_RES_CV,S_RES_SCALE,3,197,170,182,2,14
T_RES_CV,S_RES_SCALE,4,182,135,161,1,27
T_RES_CV,S_RES_SCALE,5,168,99,141,2,44
T_RES_CV,S_RES_SCALE,6,155,78,120,3,45
T_RES_CV,S_RES_SCALE,7,142,55,92,4,41
T_RES_CV,S_RES_SCALE,8,129,34,76,1,43
T_RES_CV,S_RES_SCALE,9,117,21,57,0,36
T_RES_CV,S_RES_SCALE,10,106,14,38,1,25
T_RES_CV,S_RES_SCALE,11,96,4,32,0,28
T_RES_CV,S_RES_SCALE,12,86,4,18,0,14
T_RES_CV,S_RES_SCALE,13,77,1,12,0,11
T_RES_CV,S_RES_SCALE,14,68,0,10,0,10
T_RES_CV,S_RES_SCALE,15,59,0,5,0,5
T_RES_CV,S_RES_SCALE,16,50,0,1,0,1
T_RES_CV,S_RES_SCALE,17,41,0,1,0,1
T_RES_CV,S_RES_SCALE,18,32,0,1,0,1
T_RES_CV,S_RES_SCALE,19,25,0,0,0,0
T_RES_CV,S_RES_SCALE,20,19,0,1,0,1
T_RES_CV,S_RES_SCALE,21,13,0,1,0,1
T_RES_CV,S_RES_SCALE,22,8,0,0,0,0
T_RES_CV,S_RES_SCALE,23,4,0,0,0,0
S_FIXED,S_RES_CV,1,227,220,227,0,7
S_FIXED,S_RES_CV,2,212,196,205,4,13
S_FIXED,S_RES_CV,3,197,152,181,6,35
S_FIXED,S_RES_CV,4,182,115,162,2,49
S_FIXED,S_RES_CV,5,168,90,140,8,58
S_FIXED,S_RES_CV,6,155,75,117,5,47
S_FIXED,S_RES_CV,7,142,59,92,11,44
S_FIXED,S_RES_CV,8,129,40,72,11,43
S_FIXED,S_RES_CV,9,117,29,54,12,37
S_FIXED,S_RES_CV,10,106,20,38,9,27
S_FIXED,S_RES_CV,11,96,13,28,5,20
S_FIXED,S_RES_CV,12,86,6,16,6,16
S_FIXED,S_RES_CV,13,77,4,10,4,10
S_FIXED,S_RES_CV,14,68,2,9,2,9
S_FIXED,S_RES_CV,15,59,2,3,2,3
S_FIXED,S_RES_CV,16,50,1,0,1,0
S_FIXED,S_RES_CV,17,41,1,1,1,1
S_FIXED,S_RES_CV,18,32,0,0,0,0
S_FIXED,S_RES_CV,19,25,0,1,0,1
S_FIXED,S_RES_CV,20,19,0,1,0,1
S_FIXED,S_RES_CV,21,13,0,1,0,1
S_FIXED,S_RES_CV,22,8,0,1,0,1
S_FIXED,S_RES_CV,23,4,0,0,0,0
S_FIXED,S_SCALE,1,243,230,230,0,0
S_FIXED,S_SCALE,2,227,205,205,0,0
S_FIXED,S_SCALE,3,212,159,159,1,1
S_FIXED,S_SCALE,4,197,119,121,0,2
S_FIXED,S_SCALE,5,182,94,96,0,2
S_FIXED,S_SCALE,6,168,79,80,0,1
S_FIXED,S_SCALE,7,155,62,63,1,2
S_FIXED,S_SCALE,8,142,43,46,0,3
S_FIXED,S_SCALE,9,129,33,35,1,3
S_FIXED,S_SCALE,10,117,22,26,0,4
S_FIXED,S_SCALE,11,106,15,18,0,3
S_FIXED,S_SCALE,12,96,7,11,0,4
S_FIXED,S_SCALE,13,86,5,6,0,1
S_FIXED,S_SCALE,14,77,3,5,0,2
S_FIXED,S_SCALE,15,68,2,3,0,1
S_FIXED,S_SCALE,16,59,1,3,0,2
S_FIXED,S_SCALE,17,50,1,2,0,1
S_FIXED,S_SCALE,18,41,0,2,0,2
S_FIXED,S_SCALE,19,32,0,1,0,1
S_FIXED,S_SCALE,20,25,0,0,0,0
S_FIXED,S_SCALE,21,19,0,0,0,0
S_FIXED,S_SCALE,22,13,0,0,0,0
S_FIXED,S_SCALE,23,8,0,0,0,0
S_FIXED,S_SCALE,24,4,0,0,0,0
S_FIXED,S_RES_SCALE,1,227,220,225,2,7
S_FIXED,S_RES_SCALE,2,212,196,201,6,11
S_FIXED,S_RES_SCALE,3,197,152,182,5,35
S_FIXED,S_RES_SCALE,4,182,115,161,2,48
S_FIXED,S_RES_SCALE,5,168,90,141,7,58
S_FIXED,S_RES_SCALE,6,155,75,120,5,50
S_FIXED,S_RES_SCALE,7,142,59,92,11,44
S_FIXED,S_RES_SCALE,8,129,40,76,10,46
S_FIXED,S_RES_SCALE,9,117,29,57,10,38
S_FIXED,S_RES_SCALE,10,106,20,38,9,27
S_FIXED,S_RES_SCALE,11,96,13,32,5,24
S_FIXED,S_RES_SCALE,12,86,6,18,5,17
S_FIXED,S_RES_SCALE,13,77,4,12,4,12
S_FIXED,S_RES_SCALE,14,68,2,10,2,10
S_FIXED,S_RES_SCALE,15,59,2,5,2,5
S_FIXED,S_RES_SCALE,16,50,1,1,1,1
S_FIXED,S_RES_SCALE,17,41,1,1,1,1
S_FIXED,S_RES_SCALE,18,32,0,1,0,1
S_FIXED,S_RES_SCALE,19,25,0,0,0,0
S_FIXED,S_RES_SCALE,20,19,0,1,0,1
S_FIXED,S_RES_SCALE,21,13,0,1,0,1
S_FIXED,S_RES_SCALE,22,8,0,0,0,0
S_FIXED,S_RES_SCALE,23,4,0,0,0,0
S_RES_CV,S_SCALE,1,227,227,220,7,0
S_RES_CV,S_SCALE,2,212,205,196,13,4
S_RES_CV,S_SCALE,3,197,181,152,35,6
S_RES_CV,S_SCALE,4,182,162,116,48,2
S_RES_CV,S_SCALE,5,168,140,92,56,8
S_RES_CV,S_SCALE,6,155,117,76,46,5
S_RES_CV,S_SCALE,7,142,92,60,43,11
S_RES_CV,S_SCALE,8,129,72,43,40,11
S_RES_CV,S_SCALE,9,117,54,32,34,12
S_RES_CV,S_SCALE,10,106,38,24,24,10
S_RES_CV,S_SCALE,11,96,28,16,18,6
S_RES_CV,S_SCALE,12,86,16,9,15,8
S_RES_CV,S_SCALE,13,77,10,5,10,5
S_RES_CV,S_SCALE,14,68,9,4,9,4
S_RES_CV,S_SCALE,15,59,3,3,3,3
S_RES_CV,S_SCALE,16,50,0,3,0,3
S_RES_CV,S_SCALE,17,41,1,2,1,2
S_RES_CV,S_SCALE,18,32,0,2,0,2
S_RES_CV,S_SCALE,19,25,1,1,1,1
S_RES_CV,S_SCALE,20,19,1,0,1,0
S_RES_CV,S_SCALE,21,13,1,0,1,0
S_RES_CV,S_SCALE,22,8,1,0,1,0
S_RES_CV,S_SCALE,23,4,0,0,0,0
S_RES_CV,S_RES_SCALE,1,227,227,225,2,0
S_RES_CV,S_RES_SCALE,2,212,205,201,4,0
S_RES_CV,S_RES_SCALE,3,197,181,182,1,2
S_RES_CV,S_RES_SCALE,4,182,162,161,1,0
S_RES_CV,S_RES_SCALE,5,168,140,141,0,1
S_RES_CV,S_RES_SCALE,6,155,117,120,1,4
S_RES_CV,S_RES_SCALE,7,142,92,92,1,1
S_RES_CV,S_RES_SCALE,8,129,72,76,0,4
S_RES_CV,S_RES_SCALE,9,117,54,57,0,3
S_RES_CV,S_RES_SCALE,10,106,38,38,1,1
S_RES_CV,S_RES_SCALE,11,96,28,32,1,5
S_RES_CV,S_RES_SCALE,12,86,16,18,2,4
S_RES_CV,S_RES_SCALE,13,77,10,12,0,2
S_RES_CV,S_RES_SCALE,14,68,9,10,0,1
S_RES_CV,S_RES_SCALE,15,59,3,5,0,2
S_RES_CV,S_RES_SCALE,16,50,0,1,0,1
S_RES_CV,S_RES_SCALE,17,41,1,1,0,0
S_RES_CV,S_RES_SCALE,18,32,0,1,0,1
S_RES_CV,S_RES_SCALE,19,25,1,0,1,0
S_RES_CV,S_RES_SCALE,20,19,1,1,0,0
S_RES_CV,S_RES_SCALE,21,13,1,1,0,0
S_RES_CV,S_RES_SCALE,22,8,1,0,1,0
S_RES_CV,S_RES_SCALE,23,4,0,0,0,0
S_SCALE,S_RES_SCALE,1,227,220,225,2,7
S_SCALE,S_RES_SCALE,2,212,196,201,6,11
S_SCALE,S_RES_SCALE,3,197,152,182,5,35
S_SCALE,S_RES_SCALE,4,182,116,161,2,47
S_SCALE,S_RES_SCALE,5,168,92,141,7,56
S_SCALE,S_RES_SCALE,6,155,76,120,5,49
S_SCALE,S_RES_SCALE,7,142,60,92,11,43
S_SCALE,S_RES_SCALE,8,129,43,76,10,43
S_SCALE,S_RES_SCALE,9,117,32,57,10,35
S_SCALE,S_RES_SCALE,10,106,24,38,10,24
S_SCALE,S_RES_SCALE,11,96,16,32,6,22
S_SCALE,S_RES_SCALE,12,86,9,18,6,15
S_SCALE,S_RES_SCALE,13,77,5,12,5,12
S_SCALE,S_RES_SCALE,14,68,4,10,4,10
S_SCALE,S_RES_SCALE,15,59,3,5,3,5
S_SCALE,S_RES_SCALE,16,50,3,1,3,1
S_SCALE,S_RES_SCALE,17,41,2,1,2,1
S_SCALE,S_RES_SCALE,18,32,2,1,2,1
S_SCALE,S_RES_SCALE,19,25,1,0,1,0
S_SCALE,S_RES_SCALE,20,19,0,1,0,1
S_SCALE,S_RES_SCALE,21,13,0,1,0,1
S_SCALE,S_RES_SCALE,22,8,0,0,0,0
S_SCALE,S_RES_SCALE,23,4,0,0,0,0
