target_class,start_frame,end_frame,model,update_id,available,x,y,boundary,center_error,error_dx,error_dy,iou,valid
condor,0,1,T_FIXED,condor:1,1,2740.0,1450.0,0,11.876973520219703,-6.0,-10.25,0.8238432226456178,1
condor,0,1,S_FIXED,condor:1,1,2740.0,1450.0,0,2.5600977517957664,1.4783555405065272,-2.090111335456413,0.9577179370551417,1
condor,0,1,S_SCALE,condor:1,1,2740.0,1450.0,0,2.5600977517957664,1.4783555405065272,-2.090111335456413,0.9579889672621628,1
condor,1,2,T_FIXED,condor:2,1,2746.0,1521.0,0,13.892443989449804,-7.0,-12.0,0.7997507808327804,1
condor,1,2,S_FIXED,condor:2,1,2746.0,1521.0,0,3.9001121354137234,0.052932237310415076,-3.899752921282925,0.9482741044997103,1
condor,1,2,S_SCALE,condor:2,1,2746.0,1521.0,0,3.9001121354137234,0.052932237310415076,-3.899752921282925,0.951673638867797,1
condor,2,3,T_FIXED,condor:3,1,2752.5,1593.0,0,13.892443989449804,-7.0,-12.0,0.8010083604569532,1
condor,2,3,S_FIXED,condor:3,1,2752.5,1593.0,0,4.263254141575054,0.647333174126743,-4.213821975040219,0.9396431498991051,1
condor,2,3,S_SCALE,condor:3,1,2752.5,1593.0,0,4.263254141575054,0.647333174126743,-4.213821975040219,0.9436985156675841,1
condor,3,4,T_FIXED,condor:4,1,2758.5,1666.0,0,14.983324063771697,-6.5,-13.5,0.7926113692907102,1
condor,3,4,S_FIXED,condor:4,1,2758.5,1666.0,0,4.059181986078051,0.4965821704836344,-4.028692659419221,0.9474461886786643,1
condor,3,4,S_SCALE,condor:4,1,2758.5,1666.0,0,4.059181986078051,0.4965821704836344,-4.028692659419221,0.9477445312565349,1
condor,4,5,T_FIXED,condor:5,1,2765.0,1740.0,0,15.20896117425513,-6.5,-13.75,0.7921283560528055,1
condor,4,5,S_FIXED,condor:5,1,2765.0,1740.0,0,4.571225494836505,0.5812164974331608,-4.534125043242057,0.9415124227762779,1
condor,4,5,S_SCALE,condor:5,1,2765.0,1740.0,0,4.571225494836505,0.5812164974331608,-4.534125043242057,0.9417961421974494,1
condor,5,6,T_FIXED,condor:6,1,2771.5,1815.0,0,16.101242188104617,-7.0,-14.5,0.7827419403298982,1
condor,5,6,S_FIXED,condor:6,1,2771.5,1815.0,0,4.574607185725968,0.1667307448642532,-4.571567757609273,0.9371922524263446,1
condor,5,6,S_SCALE,condor:6,1,2771.5,1815.0,0,4.574607185725968,0.1667307448642532,-4.571567757609273,0.9457356954901862,1
condor,6,7,T_FIXED,condor:7,1,2778.5,1891.5,0,16.91892431568863,-5.5,-16.0,0.78379094979967,1
condor,6,7,S_FIXED,condor:7,1,2778.5,1891.5,0,5.7223464091700995,1.7193855281730066,-5.457926513984148,0.9209509550255464,1
condor,6,7,S_SCALE,condor:7,1,2778.5,1891.5,0,5.7223464091700995,1.7193855281730066,-5.457926513984148,0.9213531865993453,1
condor,7,8,T_FIXED,condor:8,1,2785.0,1969.0,0,16.91892431568863,-5.5,-16.0,0.7858273407292307,1
condor,7,8,S_FIXED,condor:8,1,2785.0,1969.0,0,6.024623574724945,0.2948766273675574,-6.017402844397566,0.923161764326897,1
condor,7,8,S_SCALE,condor:8,1,2785.0,1969.0,0,6.024623574724945,0.2948766273675574,-6.017402844397566,0.9306204950317045,1
condor,8,9,T_FIXED,condor:9,1,2792.0,2047.5,1,12.41219158730641,-5.75,11.0,0.8218037661050545,1
condor,8,9,S_FIXED,condor:9,1,2792.0,2047.5,1,21.785233438092256,0.5780510380454871,21.77756306269339,0.9411386588933159,1
condor,8,9,S_SCALE,condor:9,1,2792.0,2047.5,1,21.785233438092256,0.5780510380454871,21.77756306269339,0.9354818642275432,1
condor,9,10,T_FIXED,condor:10,1,2798.5,2099.0,1,23.42007685726074,-6.5,22.5,0.6338938591971521,1
condor,9,10,S_FIXED,condor:10,1,2798.5,2099.0,1,33.0231674112385,0.010753682300673972,33.023165660320956,0.8139823206564442,1
condor,9,10,S_SCALE,condor:10,1,2798.5,2099.0,1,33.0231674112385,0.010753682300673972,33.023165660320956,0.8110727403728663,1
hangar,19,20,T_FIXED,hangar:20,1,252.0,3.0,1,44.40228034684705,12.0,42.75,0.0,0
hangar,19,20,S_FIXED,hangar:20,1,252.0,3.0,1,35.32464475851626,-3.90749555169873,35.107862450294874,0.0,0
hangar,19,20,S_SCALE,hangar:20,1,252.0,3.0,1,35.32464475851626,-3.90749555169873,35.107862450294874,0.0,0
hangar,20,21,T_FIXED,hangar:21,1,241.0,29.0,1,42.68782027698299,10.0,41.5,0.3144533741548667,0
hangar,20,21,S_FIXED,hangar:21,1,241.0,29.0,1,34.4074767526733,-2.296759691855982,34.33073479265509,0.4123495145547806,0
hangar,20,21,S_SCALE,hangar:21,1,241.0,29.0,1,34.4074767526733,-2.2967596918559536,34.33073479265509,0.4140302340982442,0
hangar,21,22,T_FIXED,hangar:22,1,230.0,55.0,1,23.259406699226016,10.0,21.0,0.6375938731504202,1
hangar,21,22,S_FIXED,hangar:22,1,230.0,55.0,1,14.682665537708113,-0.9575408764497411,14.651408900243325,0.7727080461429374,1
hangar,21,22,S_SCALE,hangar:22,1,230.0,55.0,1,14.682665537708099,-0.9575408764497411,14.651408900243311,0.7740017498570334,1
hangar,22,23,T_FIXED,hangar:23,1,219.0,100.0,0,19.251623308178456,11.75,15.25,0.70347380523563,1
hangar,22,23,S_FIXED,hangar:23,1,219.0,100.0,0,7.674349200854402,-2.027169970859916,7.401771245174928,0.8729454072612662,1
hangar,22,23,S_SCALE,hangar:23,1,219.0,100.0,0,7.674349200854402,-2.027169970859916,7.401771245174928,0.8733987240244312,1
hangar,23,24,T_FIXED,hangar:24,1,208.0,153.5,0,19.72308292331602,10.0,17.0,0.6987030609848386,1
hangar,23,24,S_FIXED,hangar:24,1,208.0,153.5,0,6.543470866787176,-1.2293330545140861,6.426955050844185,0.8942323840405958,1
hangar,23,24,S_SCALE,hangar:24,1,208.0,153.5,0,6.54347086678711,-1.2293330545140293,6.426955050844128,0.8946233905304367,1
helicopter,0,1,T_FIXED,helicopter:1,1,2287.5,893.5,0,3.0516389039334255,-2.5,-1.75,0.9186503466746765,1
helicopter,0,1,S_FIXED,helicopter:1,1,2287.5,893.5,0,1.3635975024532163,1.10253864288552,0.8023756536939572,0.9623770818764923,1
helicopter,0,1,S_SCALE,helicopter:1,1,2287.5,893.5,0,1.3635975024532163,1.10253864288552,0.8023756536939572,0.9626125292493336,1
helicopter,1,2,T_FIXED,helicopter:2,1,2290.0,956.0,0,4.949747468305833,-3.5,-3.5,0.8689704823614111,1
helicopter,1,2,S_FIXED,helicopter:2,1,2290.0,956.0,0,0.5883404265330203,0.43920854297994083,0.3914592102205461,0.9809433953940058,1
helicopter,1,2,S_SCALE,helicopter:2,1,2290.0,956.0,0,0.5883404265330203,0.43920854297994083,0.3914592102205461,0.982285510753592,1
helicopter,2,3,T_FIXED,helicopter:3,1,2293.0,1019.5,0,4.949747468305833,-3.5,-3.5,0.8699186991869918,1
helicopter,2,3,S_FIXED,helicopter:3,1,2293.0,1019.5,0,0.9155778385626543,0.8969653266085515,0.18367357275633367,0.9730024018704346,1
helicopter,2,3,S_SCALE,helicopter:3,1,2293.0,1019.5,0,0.9155778385626543,0.8969653266085515,0.18367357275633367,0.9799890506081794,1
helicopter,3,4,T_FIXED,helicopter:4,1,2295.5,1084.0,0,5.5901699437494745,-2.5,-5.0,0.8579516685845799,1
helicopter,3,4,S_FIXED,helicopter:4,1,2295.5,1084.0,0,1.1214686479739722,1.1175172903595012,-0.09405867390159983,0.9694412517389477,1
helicopter,3,4,S_SCALE,helicopter:4,1,2295.5,1084.0,0,1.1214686479739722,1.1175172903595012,-0.09405867390159983,0.9782419132396564,1
helicopter,4,5,T_FIXED,helicopter:5,1,2298.0,1149.5,0,5.367727638395972,-2.5,-4.75,0.863481228668942,1
helicopter,4,5,S_FIXED,helicopter:5,1,2298.0,1149.5,0,0.9273331636550948,0.9101373063549545,0.17775511243144138,0.980143792416964,1
helicopter,4,5,S_SCALE,helicopter:5,1,2298.0,1149.5,0,0.9273331636550948,0.9101373063549545,0.17775511243144138,0.9747703254797274,1
helicopter,5,6,T_FIXED,helicopter:6,1,2300.5,1215.5,0,6.264982043070834,-3.0,-5.5,0.8432124075229521,1
helicopter,5,6,S_FIXED,helicopter:6,1,2300.5,1215.5,0,0.6631084693134869,0.5380562682521486,-0.38756714807868775,0.9798059372359379,1
helicopter,5,6,S_SCALE,helicopter:6,1,2300.5,1215.5,0,0.6631084693134869,0.5380562682521486,-0.38756714807868775,0.9820768915684231,1
helicopter,6,7,T_FIXED,helicopter:7,1,2303.5,1283.0,0,6.800735254367722,-2.0,-6.5,0.8411182496961278,1
helicopter,6,7,S_FIXED,helicopter:7,1,2303.5,1283.0,0,1.1292555525363994,0.7275783984932787,-0.86362478946603,0.9617021276595744,1
helicopter,6,7,S_SCALE,helicopter:7,1,2303.5,1283.0,0,1.1292555525363994,0.7275783984932787,-0.86362478946603,0.9693628045515462,1
helicopter,7,8,T_FIXED,helicopter:8,1,2306.5,1351.0,0,6.576473218982953,-1.0,-6.5,0.8566512045488553,1
helicopter,7,8,S_FIXED,helicopter:8,1,2306.5,1351.0,0,1.4247097037841736,0.643766799288187,-1.2709689406869984,0.9626713212176806,1
helicopter,7,8,S_SCALE,helicopter:8,1,2306.5,1351.0,0,1.4247097037841736,0.643766799288187,-1.2709689406869984,0.9628329104375896,1
helicopter,8,9,T_FIXED,helicopter:9,1,2309.0,1420.0,0,10.00624804809475,-2.25,-9.75,0.7848060690244685,1
helicopter,8,9,S_FIXED,helicopter:9,1,2309.0,1420.0,0,3.9800773105066716,0.02718998927912253,-3.979984434905873,0.9187583110751361,1
helicopter,8,9,S_SCALE,helicopter:9,1,2309.0,1420.0,0,3.9800773105066716,0.02718998927912253,-3.979984434905873,0.91268286292461,1
helicopter,9,10,T_FIXED,helicopter:10,1,2312.0,1490.5,0,9.82344135219425,-2.5,-9.5,0.7876969842412607,1
helicopter,9,10,S_FIXED,helicopter:10,1,2312.0,1490.5,0,4.2718550579082075,-0.04540852670925233,-4.271613711640839,0.8994506261446313,1
helicopter,9,10,S_SCALE,helicopter:10,1,2312.0,1490.5,0,4.2718550579082075,-0.04540852670925233,-4.271613711640839,0.9063020256219154,1
helicopter,10,11,T_FIXED,helicopter:11,1,2315.0,1562.0,0,10.307764064044152,-4.0,-9.5,0.7714685749844431,1
helicopter,10,11,S_FIXED,helicopter:11,1,2315.0,1562.0,0,3.338317750152759,0.17121246186661665,-3.3339243683512905,0.930596477637984,1
helicopter,10,11,S_SCALE,helicopter:11,1,2315.0,1562.0,0,3.338317750152759,0.17121246186661665,-3.3339243683512905,0.926118190049293,1
helicopter,11,12,T_FIXED,helicopter:12,1,2318.0,1634.5,0,10.124228365658293,-3.5,-9.5,0.7786166913846568,1
helicopter,11,12,S_FIXED,helicopter:12,1,2318.0,1634.5,0,3.804906434544074,-0.0025308454596597585,-3.8049055928440794,0.9096732873337812,1
helicopter,11,12,S_SCALE,helicopter:12,1,2318.0,1634.5,0,3.804906434544074,-0.0025308454596597585,-3.8049055928440794,0.9166653346577683,1
helicopter,12,13,T_FIXED,helicopter:13,1,2321.0,1707.5,0,10.738365797457265,-2.25,-10.5,0.7786899264580126,1
helicopter,12,13,S_FIXED,helicopter:13,1,2321.0,1707.5,0,4.238457483342308,-0.22583148621015425,-4.232436884105482,0.913491353796622,1
