model,cohort,axis,n,signed_error_slope_px_per_1000_source_px,rms_signed_error
T_FIXED,all,x,243,-7.351569350754422,7.56584606960591
T_FIXED,all,y,243,-14.079090834740672,10.258051640384256
T_FIXED,nonboundary,x,220,-7.623641964769403,7.3869317963303525
T_FIXED,nonboundary,y,220,-14.305496024390072,8.276249562342947
S_FIXED,all,x,243,2.0396242448796023,2.581597477422038
S_FIXED,all,y,243,-5.543140856869502,6.561998734307842
S_FIXED,nonboundary,x,220,1.7427164962656696,2.1014829364277983
S_FIXED,nonboundary,y,220,-5.580729972889008,3.434077642908707
