model,image,raw_proposals,zero_proposals,score_p10,score_median,score_p90,score_max,count_conf_001,zero_conf_001,short_side_p10,short_side_median,short_side_p90,center_q_tl,center_q_tr,center_q_bl,center_q_br,count_top8,count_top16,count_top32,preprocess_ms,inference_ms,decode_nms_ms,total_ms
frozen_v2,00000.png,125,0,0.0009538710117340087,0.0010153353214263916,0.001666998863220216,0.005977660417556763,0,1,16.74842529296875,86.374267578125,242.60044555664066,34,32,26,33,8,16,32,23.145899991504848,104.76090000884142,1.8954999977722764,129.8192999965977
frozen_v2,00005.png,136,0,0.0009437501430511475,0.0010126978158950806,0.001373201608657837,0.005173832178115845,0,1,16.74951171875,92.94540405273438,233.6013069152832,39,35,31,31,8,16,32,22.06419999129139,107.00020000513177,1.9864999921992421,131.0685999924317
frozen_v2,00010.png,136,0,0.0009617209434509277,0.0010407418012619019,0.0015792697668075562,0.009597927331924438,0,1,16.7344970703125,92.8656997680664,201.74323272705078,53,26,32,25,8,16,32,23.046000002068467,103.77519999747165,2.090300011332147,128.93000000622123
frozen_v2,00015.png,146,0,0.0009600073099136353,0.001019492745399475,0.0016431957483291626,0.008386433124542236,0,1,22.915313720703125,82.76329803466797,191.30876922607422,42,30,39,35,8,16,32,22.22270000493154,99.22210000513587,1.9933000003220513,123.45450000429992
frozen_v2,00020.png,167,0,0.000955212116241455,0.0010085105895996094,0.0014112293720245363,0.06361749768257141,1,0,19.60537109375,78.1650390625,177.84639892578127,50,34,44,39,8,16,32,22.125799994682893,103.82439999375492,2.3339000035775825,128.31079999159556
frozen_v2,00025.png,152,0,0.0009562522172927856,0.0010322034358978271,0.0013525396585464479,0.09868451952934265,2,0,20.05416259765625,87.71874237060547,178.43960571289062,53,35,35,29,8,16,32,22.769599992898293,112.77340000378899,2.0183000015094876,137.58039999811444
frozen_v2,00030.png,170,0,0.0009335219860076904,0.000988006591796875,0.0011391371488571167,0.007410526275634766,0,1,41.606622314453126,74.19734191894531,166.90906982421873,34,50,42,44,8,16,32,24.201800013543107,107.35589999239892,2.3024000111036003,133.87970000621863
frozen_v2,00035.png,163,0,0.0009606420993804931,0.0010335445404052734,0.001935189962387085,0.018817543983459473,3,0,17.1614013671875,64.817138671875,169.99873046875013,37,38,38,50,8,16,32,20.71579999756068,96.5825000021141,2.049200003966689,119.36550000973511
frozen_v2,00040.png,162,0,0.0009624481201171875,0.0010422170162200928,0.0017031878232955935,0.009136468172073364,0,1,14.590603256225586,60.74508857727051,176.94356994628907,44,43,35,40,8,16,32,20.902500007650815,100.3227000037441,2.098400000249967,123.34190000547096
frozen_v2,00045.png,165,0,0.0009507954120635987,0.0010218024253845215,0.001522409915924072,0.061506807804107666,4,0,17.386578369140626,62.331787109375,186.34636230468746,45,51,34,35,8,16,32,21.77279999887105,104.19469999033026,2.0535999938147143,128.03889998758677
frozen_v2,00050.png,162,0,0.000945889949798584,0.0010151714086532593,0.0014016866683959962,0.015280932188034058,3,0,15.960855102539064,61.72283935546875,170.1588073730469,45,60,23,34,8,16,32,22.191900003235787,99.53769999265205,2.0332999993115664,123.7808000005316
frozen_v2,00055.png,178,0,0.00095902681350708,0.0010158270597457886,0.001545128226280213,0.05512097477912903,3,0,12.836815309524535,54.88690185546875,171.84096069335948,51,55,37,35,8,16,32,22.444699992774986,99.70770000654738,2.3893999896245077,124.55979999504052
frozen_v2,00060.png,172,0,0.0009549438953399658,0.0010246038436889648,0.00138433575630188,0.016697406768798828,1,0,16.384619140625002,61.636932373046875,171.94266052246095,39,42,48,43,8,16,32,22.082299998146482,98.85390000999905,2.235599997220561,123.19240000215359
frozen_v2,00065.png,183,0,0.0009410083293914795,0.001009523868560791,0.0013332605361938482,0.02537977695465088,2,0,19.7880615234375,56.831298828125,129.1161865234375,36,73,32,42,8,16,32,21.35640000051353,97.59590000612661,2.1609999967040494,121.13100000715349
frozen_v2,00070.png,181,0,0.0009472370147705078,0.0010103285312652588,0.0012640058994293213,0.021349668502807617,1,0,24.204193115234375,59.771240234375,175.767578125,30,72,31,48,8,16,32,19.8443999979645,97.25409999373369,2.174400011426769,119.29139999847393
frozen_v2,00075.png,192,0,0.0009511023759841919,0.00102214515209198,0.0013922154903411867,0.011908620595932007,1,0,20.1583251953125,52.003883361816406,164.00968017578126,33,60,31,68,8,16,32,22.22930001153145,100.90829999535345,2.164899997296743,125.31909999961499
frozen_v2,00080.png,191,0,0.0009419918060302734,0.0010162293910980225,0.0011952519416809082,0.02835443615913391,1,0,30.7650146484375,54.69073486328125,143.5194091796875,33,65,40,53,8,16,32,22.48919999692589,105.30379999545403,2.2037000017007813,130.01499998790678
frozen_v2,00085.png,182,0,0.000945088267326355,0.001011580228805542,0.0012344449758529663,0.0059989988803863525,0,1,18.854492187500007,58.54678726196289,148.4765609741211,35,45,46,56,8,16,32,22.384399999282323,97.87500000675209,2.1637000027112663,122.44180000561755
frozen_v2,00090.png,212,0,0.0009397685527801514,0.0010011494159698486,0.0012400716543197632,0.0031815767288208008,0,1,33.05328369140625,61.56336975097656,135.39006347656252,37,65,41,69,8,16,32,24.266499996883795,105.4331000050297,2.425099999527447,132.1438000013586
frozen_v2,00095.png,182,0,0.0009457021951675415,0.0010085701942443848,0.0013616025447845462,0.015613853931427002,1,0,18.030674743652344,55.801239013671875,124.01384124755862,37,58,34,53,8,16,32,22.47429999988526,102.35309999552555,2.1173999994061887,126.96259999938775
frozen_v2,00100.png,181,0,0.000957101583480835,0.001034855842590332,0.0015908479690551758,0.025164425373077393,2,0,11.855224609375,52.48583984375,121.982177734375,38,68,30,45,8,16,32,23.395500000333413,110.49360000470188,2.2070999984862283,136.11479999963194
frozen_v2,00105.png,170,0,0.0009411364793777466,0.0010119229555130005,0.0014384239912033072,0.034607648849487305,1,0,14.358569335937501,60.281829833984375,132.53461761474608,31,31,46,62,8,16,32,24.820099992211908,113.02370000339579,2.04239999584388,139.90289998764638
frozen_v2,00110.png,180,0,0.0009488344192504882,0.001002296805381775,0.0012476921081542968,0.010066449642181396,1,0,20.68514404296875,55.20265293121338,119.40277404785155,21,36,53,70,8,16,32,22.07809999526944,105.82419999991544,2.3314999998547137,130.25719999859575
frozen_v2,00115.png,169,0,0.0009482979774475097,0.0010078251361846924,0.0012977957725524905,0.01997169852256775,1,0,16.247282409667967,63.165283203125,136.51496582031254,35,47,43,44,8,16,32,23.437099996954203,104.04320000088774,2.0856000046478584,129.5828000002075
frozen_v2,00120.png,131,0,0.000953376293182373,0.001028507947921753,0.0011708438396453857,0.002415269613265991,0,1,39.024322509765625,86.17587280273438,198.3638916015625,34,43,24,30,8,16,32,21.51869999943301,101.75379998690914,1.8856000097002834,125.17709999519866
frozen_v2,00125.png,141,0,0.0009445846080780029,0.0010066628456115723,0.0011512935161590576,0.005106300115585327,0,1,36.5457763671875,73.06085205078125,176.65545654296875,28,52,19,42,8,16,32,22.4962000065716,109.29999999643769,1.9834000122500584,133.79760000680108
frozen_v2,00130.png,155,0,0.000929868221282959,0.000997304916381836,0.0011410653591156005,0.002790093421936035,0,1,36.0572998046875,87.37384033203125,186.93517761230467,31,60,27,37,8,16,32,22.046900005079806,109.48139999527484,2.046099994913675,133.59219999983907
frozen_v2,00135.png,140,0,0.000927850604057312,0.0009925663471221924,0.0011247515678405762,0.0048829615116119385,0,1,38.08797607421875,87.50225830078125,205.2746719360352,25,36,28,51,8,16,32,22.04619999974966,102.67389999353327,1.9179999944753945,126.65570000535809
frozen_v2,00140.png,144,0,0.0009270191192626953,0.0009831339120864868,0.0011184781789779666,0.002300649881362915,0,1,37.460058593750006,92.90582275390625,212.96857910156254,18,41,36,49,8,16,32,22.28189999004826,97.53000001364853,1.9253000064054504,121.75429999479093
frozen_v2,00145.png,127,0,0.0009300827980041504,0.0009905099868774414,0.0011308073997497558,0.014327436685562134,2,0,42.507275390625004,114.93836212158203,227.21132812500005,22,32,33,40,8,16,32,21.795499997097068,102.50620001170319,2.0840999932261184,126.40710000414401
frozen_v2,00150.png,123,0,0.0009228765964508056,0.0009945929050445557,0.001117151975631714,0.007603466510772705,0,1,33.9337646484375,107.00360107421875,212.51385498046872,22,27,31,43,8,16,32,22.405099996831268,103.87900000205263,1.8464000022504479,128.14760000037495
frozen_v2,00155.png,125,0,0.0009226381778717041,0.0009907186031341553,0.001135516166687012,0.0032691657543182373,0,1,45.62223510742187,102.33879089355469,234.84207763671876,26,26,33,40,8,16,32,22.096399989095517,105.7860000000801,2.2880000033183023,130.1926000014646
frozen_v2,00160.png,129,0,0.0009301543235778808,0.0010071098804473877,0.0011480093002319337,0.020999282598495483,1,0,28.71937561035157,102.928955078125,223.20504760742188,23,37,26,43,8,16,32,20.74029999494087,105.40450000553392,1.9035000004805624,128.0650999979116
frozen_v2,00165.png,129,0,0.0009286046028137207,0.0009841620922088623,0.0011543512344360351,0.0038265883922576904,0,1,24.912329101562506,99.03263854980469,215.77728271484378,28,31,32,38,8,16,32,22.587400002521463,101.23119999479968,1.8782999977702275,125.71439999737777
frozen_v2,00170.png,129,0,0.0009309947490692139,0.0009859800338745117,0.0011642932891845702,0.007830768823623657,0,1,28.3970947265625,102.39764404296875,228.083837890625,22,41,24,42,8,16,32,23.233500003698282,103.1659000000218,1.8634999869391322,128.28090001130477
frozen_v2,00175.png,126,0,0.000933915376663208,0.0009931325912475586,0.0011385977268218994,0.006628245115280151,0,1,45.13909912109375,103.70184326171875,213.58721923828125,19,42,26,39,8,16,32,22.42199999454897,99.9910000100499,1.7914000054588541,124.22120000701398
frozen_v2,00180.png,165,0,0.0009370207786560059,0.0009831786155700684,0.0010998666286468506,0.0064352452754974365,0,1,42.04619140625,77.81646728515625,189.65234374999997,32,53,37,43,8,16,32,22.034100009477697,101.68999999586958,2.0995000086259097,125.84160000551492
frozen_v2,00185.png,154,0,0.0009321808815002441,0.0009980499744415283,0.001182237267494202,0.006274908781051636,0,1,37.03896484375,78.66857528686523,173.35103759765627,31,46,34,43,8,16,32,22.268900007475168,101.5832999983104,2.0101999980397522,125.88089999917429
frozen_v2,00190.png,129,0,0.0009386599063873291,0.0010149180889129639,0.0011759161949157714,0.013539999723434448,1,0,43.86328125,91.1748046875,215.3188446044922,24,24,27,54,8,16,32,19.94310000736732,103.44510000140872,1.8430000054650009,125.25000001187436
frozen_v2,00195.png,129,0,0.000944596529006958,0.0010146498680114746,0.0011564254760742187,0.021839290857315063,1,0,46.3197509765625,92.96044921875,218.00858154296876,31,23,31,44,8,16,32,20.503599997027777,97.29000000515953,1.8936000124085695,119.7046000015689
frozen_v2,00200.png,122,0,0.0009309619665145874,0.0009974390268325806,0.0011308163404464722,0.0587884783744812,1,0,46.66058349609375,102.23492431640625,213.9430992126465,24,22,38,38,8,16,32,20.455499994568527,103.48309999972116,1.8095999985234812,125.76559999433812
frozen_v2,00205.png,132,0,0.000954282283782959,0.0010180771350860596,0.001187419891357422,0.024044901132583618,1,0,47.429385375976565,96.35427856445312,228.085255432129,34,23,44,31,8,16,32,22.60250000108499,99.43790000397712,1.9557000050554052,124.01530001079664
frozen_v2,00210.png,142,0,0.0009398281574249268,0.001015499234199524,0.0011745631694793702,0.09836408495903015,3,0,41.66671142578125,79.41046142578125,220.7103454589844,42,41,31,28,8,16,32,21.86500000243541,104.9918000062462,1.9883000059053302,128.86409999919124
