model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,2,small_plane,6,6,1.0,6,1.0,0.939203082766853,0.9355354579510531,0.8341521754350985,0.7002185660741289,0.01608149392993883
A_FIXED,2,small_tower,17,17,1.0,17,1.0,0.9313668113543999,0.9559543047056748,2.0508778904580267,0.9317693572712236,0.016064988918469372
A_FIXED,2,spacecraft,20,20,1.0,20,1.0,0.9110207060754221,0.9233259594849244,2.5604706009325375,1.4096893664853938,0.031593093526895474
A_FIXED,2,ta-ta,22,22,1.0,22,1.0,0.836944299219871,0.8911700416780213,1.3600410063879276,0.8213134648611323,0.05354629817658503
A_FIXED,2,tank,22,22,1.0,22,1.0,0.8579003522352504,0.8982701726236075,3.188445930245557,1.9527757122054834,0.04114678468000986
A_FIXED,3,condor,7,7,1.0,7,1.0,0.9452716425194575,0.9441412520064194,15.28215165606038,3.083508441982502,0.017721312884956906
A_FIXED,3,hangar,2,2,1.0,1,0.5,0.6312055160440726,0.6312055160440726,20.23096036893073,20.23096036893073,0.156534054556087
A_FIXED,3,helicopter,15,15,1.0,15,1.0,0.9381340169010414,0.9421806417479274,3.5827389326958343,1.5367468387670533,0.016348370625181418
A_FIXED,3,jammer,9,9,1.0,9,1.0,0.7604018715754018,0.8237152049204525,3.9634647111714196,2.4644515228236443,0.07468034917647406
A_FIXED,3,jet_plane,18,18,1.0,18,1.0,0.9078093265772194,0.9175254072399068,2.9555805491758793,2.617972546840878,0.034180393016006866
A_FIXED,3,large_launcher,21,21,1.0,21,1.0,0.8976066890520992,0.9139833337977594,6.063424881632575,3.5847618439372115,0.03258874403579283
A_FIXED,3,large_tower,15,15,1.0,15,1.0,0.7423916347061434,0.781819232190122,8.393300610001056,6.275829750530934,0.1045971625088489
A_FIXED,3,medium_launcher,6,6,1.0,6,1.0,0.815833673602162,0.8290938110353768,8.767129188393774,6.8723088655919415,0.17782985603225393
A_FIXED,3,medium_plane,1,1,1.0,1,1.0,0.760366880938712,0.760366880938712,5.577406312183922,5.577406312183922,0.11382461861599841
A_FIXED,3,small_launcher,21,21,1.0,21,1.0,0.8618992532190394,0.8800309657001528,1.5979917572552864,1.3454995391500473,0.06407140662619273
A_FIXED,3,small_plane,5,5,1.0,5,1.0,0.9284818554061939,0.9344186046511628,1.0232129603538636,1.134646145958845,0.026387119673461513
A_FIXED,3,small_tower,16,16,1.0,16,1.0,0.9112982578864988,0.9237327834768596,2.510583017077074,1.644412550343743,0.02884934298848672
A_FIXED,3,spacecraft,19,19,1.0,18,0.9473684210526315,0.8783685156303968,0.9098523811196626,3.009743048595845,1.7204581077813375,0.03660549165492207
A_FIXED,3,ta-ta,21,21,1.0,20,0.9523809523809523,0.7834507813577609,0.8288692814316677,1.9608356680424497,1.4135915022074037,0.08597222722073225
A_FIXED,3,tank,21,21,1.0,20,0.9523809523809523,0.8017705132954919,0.8489363023149349,4.674935667749999,2.942768844223925,0.06005650702497806
A_FIXED,4,condor,6,6,1.0,6,1.0,0.9347192768611814,0.9344783740186717,17.745707268659267,3.94732542560242,0.02281164368860722
A_FIXED,4,hangar,1,1,1.0,0,0.0,0.43036418083738537,0.43036418083738537,31.515417492104728,31.515417492104728,0.2424262884008056
A_FIXED,4,helicopter,14,14,1.0,14,1.0,0.919884832747376,0.9249296431706104,4.252294347279802,1.7488576696499596,0.018592663191986675
A_FIXED,4,jammer,8,8,1.0,8,1.0,0.7123686245894352,0.7580819719890067,4.8804166139400955,3.740412875532413,0.11334584471310341
A_FIXED,4,jet_plane,17,17,1.0,17,1.0,0.8943359466254204,0.9034464488258355,3.222499335091347,2.8175622320900393,0.03478471891469184
A_FIXED,4,large_launcher,20,20,1.0,20,1.0,0.8730591457631238,0.9070411405193626,7.295455896353168,3.8540483240017487,0.036019143214969615
A_FIXED,4,large_tower,14,14,1.0,12,0.8571428571428571,0.6806019476327517,0.7050066540205371,10.803823692954667,9.785250593688776,0.15719206862212196
A_FIXED,4,medium_launcher,5,5,1.0,5,1.0,0.8141708039193603,0.8130535881390487,10.746278540110882,8.954769856997652,0.25585056734279005
A_FIXED,4,small_launcher,20,20,1.0,20,1.0,0.8351785902697737,0.8568338561983344,1.960713313426125,1.6559672564619934,0.07648261299761408
A_FIXED,4,small_plane,4,4,1.0,4,1.0,0.9127975812209211,0.9178067417070226,1.3906425963765567,1.0787161464660926,0.02508642201083936
A_FIXED,4,small_tower,15,15,1.0,15,1.0,0.8860162400076977,0.9065975429111596,3.022565274554644,2.0351029970461187,0.0350879827076917
A_FIXED,4,spacecraft,18,18,1.0,18,1.0,0.8822932037818811,0.898892884139004,3.2078285898291505,1.9708031391178489,0.04399884354988478
A_FIXED,4,ta-ta,20,20,1.0,16,0.8,0.7418338298961011,0.8019135637954381,2.3365778515171303,1.6762330675113462,0.10134909113241936
A_FIXED,4,tank,20,20,1.0,18,0.9,0.7580721490308167,0.8191026133421155,5.962143417167431,3.6046504000433286,0.07285245106745047
A_FIXED,5,condor,5,5,1.0,5,1.0,0.92044865630957,0.9160788923719958,20.8399412394258,4.982308473066155,0.029136306860035995
A_FIXED,5,helicopter,13,13,1.0,13,1.0,0.9022000372493492,0.9059901841438258,4.85997626712143,2.0735763919394152,0.020739640802924196
A_FIXED,5,jammer,7,7,1.0,7,1.0,0.6707070903306438,0.7314844215584154,5.597540415151265,4.211211025213037,0.12761245530948595
A_FIXED,5,jet_plane,16,16,1.0,16,1.0,0.8846712713373289,0.899993796598844,3.406513333050568,2.6562544570204927,0.03279326490148757
A_FIXED,5,large_launcher,19,19,1.0,19,1.0,0.849305721287778,0.8932484248702164,8.522993067741846,4.3784551509878495,0.03912560076484707
A_FIXED,5,large_tower,13,13,1.0,11,0.8461538461538461,0.6287690573166813,0.647919265404217,12.88799358471284,11.724256986755208,0.18910091914121302
A_FIXED,5,medium_launcher,4,4,1.0,4,1.0,0.7867524760101274,0.7885697585900335,12.835026999214758,12.44389183214737,0.4838892307505954
A_FIXED,5,small_launcher,19,19,1.0,19,1.0,0.8145291897350343,0.8296986202437573,2.2833992742968108,1.9967415523051484,0.08681485010022384
A_FIXED,5,small_plane,3,3,1.0,3,1.0,0.8968457755969349,0.898479427549195,1.6155392967096291,1.863019767088798,0.04234135834292723
A_FIXED,5,small_tower,14,14,1.0,14,1.0,0.8681981282828091,0.8724404312822222,3.521650693043911,2.953944000916649,0.05093006898132153
A_FIXED,5,spacecraft,17,17,1.0,17,1.0,0.8707837838488789,0.870621270637322,3.509056919600288,2.3445835740602226,0.05156869452563408
A_FIXED,5,ta-ta,19,19,1.0,16,0.8421052631578947,0.7013170556635743,0.7873452036146513,2.808842771680962,1.913936360747077,0.10632979781928205
A_FIXED,5,tank,19,19,1.0,16,0.8421052631578947,0.7195794186332797,0.8079562133229453,7.166416776572709,3.9153299073894448,0.0783065981477889
A_FIXED,6,condor,4,4,1.0,4,1.0,0.9109935096966937,0.9081141545580378,25.181739213314557,15.483621565957481,0.1214852533746318
A_FIXED,6,helicopter,12,12,1.0,12,1.0,0.8881572987673162,0.8940508027308318,5.306869199513997,3.155467305510477,0.03229691775666939
A_FIXED,6,jammer,6,6,1.0,6,1.0,0.6399945118297233,0.6404723060570807,6.093799595188199,5.011351651209255,0.16617515027022955
A_FIXED,6,jet_plane,15,15,1.0,15,1.0,0.8729978139552269,0.8946986201888163,3.691322291747381,2.7799308085224212,0.03564013857080027
A_FIXED,6,large_launcher,18,18,1.0,18,1.0,0.8401570092004964,0.8691903731049618,8.794390612371176,5.5675623932935885,0.0497103785115499
A_FIXED,6,large_tower,12,12,1.0,10,0.8333333333333334,0.5754482989026656,0.5983189196717037,15.143321374239038,14.105252846252107,0.2270233803882108
A_FIXED,6,medium_launcher,3,3,1.0,3,1.0,0.7074660798598904,0.743527800095108,16.251087777294874,15.983140102528951,0.7265063682967705
A_FIXED,6,small_launcher,18,18,1.0,18,1.0,0.7986992974785773,0.7983776825601283,2.516634977432684,2.3249643991000735,0.1080910053204022
