model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,1,0,204,204,1.0,204,1.0,0.935346983050728,0.9516861751985057,1.313598745359058,0.9084777161116342,0.019208415200348175
A_FIXED,1,1,23,23,1.0,23,1.0,0.8827039877753549,0.9066319133862581,10.549782055096312,6.30026167113763,0.10366567894202465
A_FIXED,2,0,189,189,1.0,189,1.0,0.8961117751242079,0.9211880604616525,2.2054055598692437,1.4437569486638842,0.03147418177552836
A_FIXED,2,1,23,23,1.0,22,0.9565217391304348,0.8424631641310907,0.8682002798755334,13.833823158816871,9.059255336990201,0.10770029900056455
A_FIXED,3,0,175,175,1.0,173,0.9885714285714285,0.8619807280413917,0.8996122612561341,3.0021667765245406,2.039705377437387,0.04227299523730268
A_FIXED,3,1,22,22,1.0,20,0.9090909090909091,0.7832535780597059,0.8227232899886063,15.975530080627648,13.32780596550662,0.1458861500883597
A_FIXED,4,0,162,162,1.0,154,0.9506172839506173,0.8332799669243132,0.8783287409128497,3.6951177717592305,2.479733330419634,0.05031890870289854
A_FIXED,4,1,20,20,1.0,19,0.95,0.7706620063400655,0.7818860743985427,17.873161132050168,14.75005483469723,0.20957236135806728
A_FIXED,5,0,150,150,1.0,142,0.9466666666666667,0.8054633895606321,0.853344747715681,4.389028827944166,2.9918722617931124,0.06322609007396962
A_FIXED,5,1,18,18,1.0,18,1.0,0.7744758179899132,0.7717135109188404,18.347287525143297,15.29554516451564,0.20624272283930892
A_FIXED,6,0,138,138,1.0,130,0.9420289855072463,0.7833388487637396,0.8340313579164187,4.960444197835902,3.4586695274780617,0.0727037394984936
A_FIXED,6,1,17,17,1.0,17,1.0,0.7548402595324122,0.7395556062476547,18.98435532110843,17.011946780996354,0.20943750078623893
A_FIXED,7,0,126,126,1.0,115,0.9126984126984127,0.7620835824957065,0.8127217088270915,5.477891345214656,3.6457281720248993,0.08439515489394722
A_FIXED,7,1,16,16,1.0,16,1.0,0.7379221209925556,0.7113693480667875,19.644331511142333,18.544007300488595,0.2081274180628233
A_FIXED,8,0,114,114,1.0,103,0.9035087719298246,0.7423169924117605,0.7904192603446696,5.913416795972747,4.069966811804943,0.09175184026270695
A_FIXED,8,1,15,15,1.0,14,0.9333333333333333,0.7078192490628223,0.6841545140526878,20.08804252639593,18.26488662952195,0.218713849161374
A_FIXED,9,0,104,104,1.0,93,0.8942307692307693,0.7210456144278188,0.7588992520052575,6.386396076390052,4.573376562702735,0.10801217163074459
A_FIXED,9,1,13,13,1.0,13,1.0,0.7082012980411825,0.7013539231725273,19.622823296207727,19.65086429771054,0.22773273468402158
A_FIXED,10,0,94,94,1.0,80,0.851063829787234,0.7043996086547553,0.7380783035521365,6.774800476230811,4.615858993010262,0.12224671904605461
A_FIXED,10,1,12,12,1.0,11,0.9166666666666666,0.6774606676818026,0.6829203738907635,16.337369839052815,19.380886388652065,0.22495515784984996
A_FIXED,11,0,84,84,1.0,70,0.8333333333333334,0.688474734805637,0.7189282643724889,7.075057816113576,4.692046616897913,0.1315588020829153
A_FIXED,11,1,12,12,1.0,11,0.9166666666666666,0.6665833539437711,0.6826930898565555,16.62750227551965,19.894511424670448,0.23946474360391878
A_FIXED,12,0,75,75,1.0,63,0.84,0.6718079497804008,0.6965809272027771,7.410538609781103,4.74589455089854,0.1350856360959287
A_FIXED,12,1,11,11,1.0,10,0.9090909090909091,0.6767404986849733,0.6718896883958717,17.936565467836928,20.115846460428592,0.2234025441510919
A_FIXED,13,0,66,66,1.0,53,0.803030303030303,0.6550832504630465,0.6900526727708023,7.756349228512022,5.076658396333368,0.15803090882320586
A_FIXED,13,1,11,11,1.0,10,0.9090909090909091,0.6648083463610323,0.6785531141462516,18.352197608118058,20.62345120319497,0.2347866657083807
A_FIXED,14,0,57,57,1.0,46,0.8070175438596491,0.6383378241467077,0.6872327052536389,8.020228331221693,5.18896736120683,0.18267491629137583
A_FIXED,14,1,11,11,1.0,9,0.8181818181818182,0.6544175712680361,0.681980571238141,18.377726891643093,20.651472276442455,0.25549374626591215
A_FIXED,15,0,48,48,1.0,36,0.75,0.6251898207325466,0.6755444982401762,8.230559626451432,5.407764801313466,0.1825436119867856
A_FIXED,15,1,11,11,1.0,9,0.8181818181818182,0.6552218493804395,0.6677225014011043,18.488799180442665,20.875086110962034,0.2688092172676921
