model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,7,<4,8,8,1.0,5,0.625,0.5535890036948028,0.5460397756484914,9.324832171287275,7.4643911648977515,0.5331707974926965
A_FIXED,7,>32,1,1,1.0,1,1.0,0.8826662918428715,0.8826662918428715,6.853043960778174,6.853043960778174,0.03916025120444671
A_FIXED,8,16-32,39,39,1.0,39,1.0,0.8411249910576927,0.8518132163767062,6.607960291938222,4.639062510773812,0.048614462320813095
A_FIXED,8,4-<8,28,28,1.0,28,1.0,0.7339112976714625,0.728197747457751,3.210626079748956,2.9539049679976737,0.15153261375680013
A_FIXED,8,8-<16,54,54,1.0,46,0.8518518518518519,0.698767659504818,0.7438646701773397,10.218219441167678,5.872016682375094,0.11994646059161962
A_FIXED,8,<4,8,8,1.0,4,0.5,0.5193226589464851,0.5010227882405689,9.507290149401992,7.117448417843901,0.5083891727031358
A_FIXED,9,16-32,35,35,1.0,35,1.0,0.8255538595617652,0.8387028301448766,6.48738648657523,4.992647272618729,0.056857986532020684
A_FIXED,9,4-<8,26,26,1.0,26,1.0,0.705377926673928,0.701704620153923,3.595735855089541,3.3636850731670274,0.17588049966793312
A_FIXED,9,8-<16,49,49,1.0,41,0.8367346938775511,0.6764148896620409,0.7303999965567114,11.159149037477768,6.491249018801216,0.12982498037602433
A_FIXED,9,<4,7,7,1.0,4,0.5714285714285714,0.5452600004863735,0.5520136448418913,7.419418956627733,6.367227424659303,0.4548019589042359
A_FIXED,10,16-32,32,32,1.0,32,1.0,0.8141276988478331,0.8348790431772208,6.796837965021428,4.84752147515856,0.04912099878529777
A_FIXED,10,4-<8,24,24,1.0,24,1.0,0.6832000205449269,0.6828350277206634,3.8554350014294596,3.8113735171011633,0.1882593898564699
