model,n,median_donor_fit_rms,median_heldout_center_error,correlation
S_FIXED,243,3.5405013487263797,3.620967214215341,-0.05610042297163793
A_FIXED,243,1.562076888283318,1.0196206199172053,-0.07290724882031274
