update_id,excluded_class,start_frame,end_frame,donors,donor_count,boundary_donor_count,sufficient,reason,rms_spread,minor_spread,major_spread,eigen_ratio,source_condition,weighted_rms_spread,weighted_minor_spread,weighted_eigen_ratio,weighted_source_condition,effective_donors,a,b,c,d,tx,ty,determinant,singular_min,singular_max,map_condition,anisotropy_ratio,rotation_deg,isotropic_scale,shear_magnitude,fit_median,fit_rms,fit_p90,weights,donor_errors
condor:1,condor,0,1,helicopter|jammer|large_launcher|mine_roller|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,1,1,,943.546774145299,579.2030287872954,744.8519090689259,0.6046746724558556,1.653781852543205,901.1672100797174,580.9512670062709,0.7111374234519676,1.4061979682433954,9.436806820855363,1.0065257919848865,0.00014821167201907259,0.0011492036186185974,1.0149639587479335,-12.677881880475752,46.979547514469004,1.0215872320894896,1.0064763360040596,1.0150136625620267,1.0084823917389476,1.0084823917389476,0.028371456822056156,1.0107359853539843,0.0006507967517297245,0.5834045681515994,3.96273713324869,3.2364893544089983,1|1|1|1|1|1|1|1|1|0.24699873737129976,0.49290815481928213|0.42637103775800744|0.22094341827963018|0.34465975849825847|1.4255637463387401|0.67390098148391664|0.35561371970879607|1.122445301778676|2.2465647187317397|12.145811075504362
condor:2,condor,1,2,helicopter|jammer|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,9,0,1,,905.1506081624152,462.34633178222157,778.1603259896472,0.3530178479031452,2.8327179657906765,905.1506081624152,462.34633178222157,0.3530178479031452,2.8327179657906765,9.0,1.0067917252856606,-0.00016786591770130195,4.213471976751542e-05,1.0131889068757813,-12.77136480950935,51.13038535757107,1.0200702146667437,1.0067911130182055,1.013189530059249,1.006355257767286,1.006355257767286,0.0059565671012386445,1.0099852546778807,6.253306766541607e-05,0.43589478717154706,0.4864595544482031,0.7356154283641066,1|1|1|1|1|1|1|1|1,0.50598816817272507|0.40356279712877002|0.16411597441537645|0.11937978679128229|0.72397659413723814|0.12642384906939921|0.57253215535438351|0.43589478717154706|0.78217076527158047
condor:3,condor,2,3,helicopter|jammer|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,9,0,1,,912.9148236876439,468.3335912847898,783.6307310097872,0.3571804658723243,2.79970517860698,912.9148236876439,468.3335912847898,0.3571804658723243,2.79970517860698,9.0,1.0068282376547364,-2.0804392705326316e-05,-0.0002219863792643178,1.0132043773178672,-13.061768213912728,51.602183254983856,1.020122772980721,1.006825932253069,1.0132066927377372,1.0063375011312923,1.0063375011312923,-0.005706283463117778,1.0100112736899134,0.00012171289620614619,0.31197599896655126,0.4380021137823578,0.6407771886473681,1|1|1|1|1|1|1|1|1,0.092356451947368745|0.26796656799027563|0.2775088849688212|0.31197599896655126|0.31007032551862995|0.69176110771862875|0.61659112948557682|0.62803120887955299|0.3502167999245136
condor:4,condor,3,4,helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,1,1,,914.2817467826862,523.2222934527699,749.7663263537671,0.48699064372221257,2.053427540941456,920.367085636,483.15439299023393,0.3804171088957836,2.6286935487803023,9.257153551701059,1.0066990911715572,-1.6236492535735028e-05,-0.0003751584661899667,1.0147176565799354,-12.8180497901335,50.502975898585305,1.0215153365834957,1.0066943338413412,1.0147224457751742,1.0079747264526655,1.0079747264526655,-0.01017341627927554,1.010700418810389,0.0001964093629485179,0.6619632293460112,6.961929531962333,3.7069565050234,1|1|0.13721355668780269|1|1|1|1|1|1|1,0.10459247453371999|0.67925939613469555|21.863728864822544|1.2363518443116328|0.79535692828944293|0.41399544406299438|0.64466706255732664|0.55964340870473461|0.52323197708359859|1.6895373539346141
condor:5,condor,4,5,helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,0,1,,924.4695032828287,533.6921713243288,754.8619269556011,0.49985797068600296,2.000568278680451,924.4695032828287,533.6921713243288,0.49985797068600296,2.000568278680451,10.0,1.0069085964647553,0.0001557242903696463,-0.00013807321393413446,1.0132642571965371,-13.437145199929091,51.64264036081579,1.0202645125630212,1.006908594891422,1.0132642801336296,1.0063120776547676,1.0063120776547676,-0.008332631972010467,1.0100814385795935,8.363380334790342e-06,0.3649092853646204,0.4361746042566171,0.6069899508473358,1|1|1|1|1|1|1|1|1|1,0.58460627637035845|0.17850509005476947|0.80844302114013289|0.25890524350621036|0.048439597399487888|0.51373000959511184|0.37633627854508789|0.41684375390099215|0.31881011109102925|0.35348229218415295
condor:6,condor,5,6,helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,0,1,,932.880910138052,540.6613610540401,760.2315996873539,0.505776715476799,1.9771570525094129,932.880910138052,540.6613610540401,0.505776715476799,1.9771570525094129,10.0,1.0070466901065465,-0.0001501142585503613,0.00019407611711149179,1.0132765805061987,-13.345083938920197,51.00138372116771,1.0204168556948394,1.0070466272115879,1.0132766727199838,1.0061864518881776,1.0061864518881776,0.009761138710081486,1.0101568470761555,2.251160351180031e-05,0.4267095104392806,0.6201223337069859,0.9605237239337605,1|1|1|1|1|1|1|1|1|1,0.32798800316181154|0.53263146333957545|0.3274510236116871|0.27404457513705477|0.2855177740404774|0.95432870073592979|0.26139574967736745|1.0162789327142367|0.52543101771674972|0.94996213076620362
condor:7,condor,6,7,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,1,1,,1027.7347251549186,585.7070997851156,844.503320627317,0.48101459475919905,2.078938998723335,961.1115420053923,563.4267643535889,0.5235975887779896,1.9098636461139429,10.333126915400218,1.0067744516345114,-1.576386381056593e-05,-0.0009489455507989686,1.0148077859028668,-12.839125473980403,51.53325831236839,1.021682537207743,1.006745700421301,1.01483675249886,1.0080368379762368,1.0080368379762368,-0.02644827768708336,1.010783130650558,0.0004842087876644621,0.6888659625414842,5.066804726195567,2.068801064552235,1|1|1|1|0.18202527630169485|1|1|1|1|1|1,0.4292599327357704|0.68886596254148424|1.9465264067499208|2.0688010645522348|16.481227557801382|0.37759823039572887|0.29590855169575936|0.69106896169762966|0.53683131492768965|0.75938442685160323|0.68298988386181858
condor:8,condor,7,8,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,0,1,,1038.5610993219384,595.3459631046961,850.9831615488847,0.4894371071646919,2.043163432770756,1038.5610993219384,595.3459631046961,0.4894371071646919,2.043163432770756,11.0,1.0069082757570043,0.00012799279306271435,0.0003258632029066715,1.0132066067901109,-13.333734061871382,51.09104424401585,1.020206075720494,1.0069001150043613,1.013214777233465,1.0062713889242891,1.0062713889242891,0.005612126041084413,1.0100525113678467,0.000227236457901852,0.7432926082739704,0.7936176616416627,1.2107206907414068,1|1|1|1|1|1|1|1|1|1|1,0.73723164249670503|0.92694230332606997|0.18959875188970701|0.74329260827397037|1.2573759174166905|0.37343404126009266|1.2107206907414068|0.79953401155276627|0.92321510919548067|0.28796909512285884|0.41970949459796952
condor:9,condor,8,9,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,10,0,1,,1033.0337022575789,514.8779832138579,895.5776305835415,0.33052336667601573,3.025504702002554,1033.0337022575789,514.8779832138579,0.33052336667601573,3.025504702002554,10.0,1.0071320819033585,2.5568745864022644e-05,0.0004860014927947372,1.0130218653240848,-13.717171028077246,50.97653373255275,1.0202468078110205,1.0071210206183172,1.0130329790799566,1.0058701569529447,1.0058701569529447,0.013058832832094356,1.010072674519522,0.0002564563113071217,0.4944733326564331,0.6042723364678612,0.8754322500888302,1|1|1|1|1|1|1|1|1|1,0.23103554049878716|0.55266985792914514|0.43627680738372104|0.79459007148012428|1.1144861633835927|0.84887070416719002|0.59214199926620537|0.36283211617219968|0.098861034459506197|0.12729753449462491
condor:10,condor,9,10,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,10,0,1,,1041.9394716105155,521.5596815911057,902.0051890308528,0.33434124178365743,2.9909561700051084,1041.9394716105155,521.5596815911057,0.33434124178365743,2.9909561700051084,10.0,1.00694592883615,0.00010053034716686183,0.00016856240022512868,1.0128670392851473,-13.55771966714292,51.86334438222116,1.0199023247148673,1.006942873666475,1.0128700956005623,1.0058863537238267,1.0058863537238267,0.00192985666093645,1.0099021362067055,0.00013464609208529218,0.7211731777823475,0.7627016948161824,1.1765589558389944,1|1|1|1|1|1|1|1|1|1,0.35557525529952166|1.3092070762650405|0.2459148224884799|0.76168189186461255|1.161820275791656|0.17763377751057963|0.53012671049546101|0.78323311744385549|0.77257734109799092|0.68066446370008238
