iteration,score,sim_time,final_num_agents,extinct,wall_seconds,starting_agents,fruit_energy_consumed
1,6.499999999999993,6.499999999999993,0,True,0.32520532608032227,3,2.275957200481571e-12
1,6.299999999999994,6.299999999999994,0,True,1.9990489482879639,3,2.275957200481571e-12
1,6.699999999999992,6.699999999999992,0,True,0.7670350074768066,3,2.275957200481571e-12
1,6.5999999999999925,6.5999999999999925,0,True,0.6931667327880859,3,2.275957200481571e-12
1,9.220599999999985,9.199999999999983,0,True,0.7830874919891357,3,20.60000000000304
1,8.620799999999987,8.599999999999985,0,True,0.7067241668701172,3,20.800000000002935
1,9.825399999999982,9.799999999999981,0,True,0.3298807144165039,3,25.40000000000273
1,6.5999999999999925,6.5999999999999925,0,True,2.608814239501953,3,2.275957200481571e-12
1,9.845599999999981,9.799999999999981,0,True,0.7055392265319824,3,45.60000000000227
1,6.099999999999994,6.099999999999994,0,True,0.6653809547424316,3,2.275957200481571e-12
1,6.8999999999999915,6.8999999999999915,0,True,0.583911657333374,3,2.275957200481571e-12
1,9.120799999999985,9.099999999999984,0,True,0.3492598533630371,3,20.80000000000279
1,6.8999999999999915,6.8999999999999915,0,True,2.1759300231933594,3,2.275957200481571e-12
1,6.799999999999992,6.799999999999992,0,True,0.7235188484191895,3,2.275957200481571e-12
1,6.099999999999994,6.099999999999994,0,True,0.7134559154510498,3,2.275957200481571e-12
1,5.999999999999995,5.999999999999995,0,True,0.6120283603668213,3,2.275957200481571e-12
1,6.499999999999993,6.499999999999993,0,True,0.6810345649719238,3,2.275957200481571e-12
1,6.199999999999994,6.199999999999994,0,True,0.5814659595489502,3,2.275957200481571e-12
1,6.499999999999993,6.499999999999993,0,True,0.14345526695251465,3,2.275957200481571e-12
1,6.999999999999991,6.999999999999991,0,True,0.7302377223968506,3,2.275957200481571e-12
1,6.399999999999993,6.399999999999993,0,True,0.6558468341827393,3,2.275957200481571e-12
1,6.5999999999999925,6.5999999999999925,0,True,0.5572547912597656,3,2.275957200481571e-12
1,9.419999999999984,9.399999999999983,0,True,0.7133800983428955,3,20.00000000000287
1,8.321999999999987,8.299999999999986,0,True,0.7472255229949951,3,22.00000000000231
1,6.499999999999993,6.499999999999993,0,True,0.8698117733001709,3,2.275957200481571e-12
1,6.5999999999999925,6.5999999999999925,0,True,0.15620160102844238,3,2.275957200481571e-12
1,8.823999999999986,8.799999999999985,0,True,0.7647316455841064,3,24.000000000002462
1,10.731799999999978,10.699999999999978,0,True,0.7325797080993652,3,31.800000000002047
1,6.5999999999999925,6.5999999999999925,0,True,0.7965660095214844,3,2.275957200481571e-12
1,6.199999999999994,6.199999999999994,0,True,0.5881431102752686,3,2.275957200481571e-12
1,5.899999999999995,5.899999999999995,0,True,0.6459267139434814,3,2.275957200481571e-12
1,9.020199999999985,8.999999999999984,0,True,0.35810279846191406,3,20.200000000002557
1,7.29999999999999,7.29999999999999,0,True,1.6550090312957764,3,2.275957200481571e-12
1,6.5999999999999925,6.5999999999999925,0,True,0.7191944122314453,3,2.275957200481571e-12
1,6.199999999999994,6.199999999999994,0,True,0.7840137481689453,3,2.275957200481571e-12
1,6.099999999999994,6.099999999999994,0,True,0.7643952369689941,3,2.275957200481571e-12
1,5.899999999999995,5.899999999999995,0,True,0.6239750385284424,3,2.275957200481571e-12
1,6.499999999999993,6.499999999999993,0,True,0.1583266258239746,3,2.275957200481571e-12
1,8.828399999999984,8.799999999999985,0,True,0.7601413726806641,3,28.40000000000145
1,6.099999999999994,6.099999999999994,0,True,0.7078344821929932,3,2.275957200481571e-12
1,9.121399999999985,9.099999999999984,0,True,0.8893215656280518,3,21.400000000003022
1,6.5999999999999925,6.5999999999999925,0,True,0.6658565998077393,3,2.275957200481571e-12
1,9.245799999999983,9.199999999999983,0,True,0.9414668083190918,3,45.80000000000216
1,6.699999999999992,6.699999999999992,0,True,0.14287877082824707,3,2.275957200481571e-12
1,5.299999999999997,5.299999999999997,0,True,0.6897053718566895,3,2.275957200481571e-12
1,6.799999999999992,6.799999999999992,0,True,0.5762002468109131,3,2.275957200481571e-12
1,10.32899999999998,10.29999999999998,0,True,0.6542448997497559,3,29.00000000000183
1,6.199999999999994,6.199999999999994,0,True,0.757256269454956,3,2.275957200481571e-12
1,10.730599999999978,10.699999999999978,0,True,0.6229560375213623,3,30.600000000001653
1,6.399999999999993,6.399999999999993,0,True,0.13209843635559082,3,2.275957200481571e-12
1,5.899999999999995,5.899999999999995,0,True,0.5625898838043213,3,2.275957200481571e-12
1,8.219999999999988,8.199999999999987,0,True,0.5898284912109375,3,20.000000000003023
1,6.699999999999992,6.699999999999992,0,True,0.7095694541931152,3,2.275957200481571e-12
1,6.799999999999992,6.799999999999992,0,True,0.9157564640045166,3,2.275957200481571e-12
1,6.199999999999994,6.199999999999994,0,True,0.7071309089660645,3,2.275957200481571e-12
1,7.099999999999991,7.099999999999991,0,True,0.9698169231414795,3,2.275957200481571e-12
1,6.5267999999999935,6.499999999999993,0,True,0.17178583145141602,3,26.800000000002505
1,6.399999999999993,6.399999999999993,0,True,0.5054225921630859,3,2.275957200481571e-12
1,6.199999999999994,6.199999999999994,0,True,0.5848333835601807,3,2.275957200481571e-12
1,6.799999999999992,6.799999999999992,0,True,0.7286109924316406,3,2.275957200481571e-12
1,6.799999999999992,6.799999999999992,0,True,0.8490452766418457,3,2.275957200481571e-12
1,9.126799999999985,9.099999999999984,0,True,0.6855785846710205,3,26.80000000000303
1,7.099999999999991,7.099999999999991,0,True,0.9428133964538574,3,2.275957200481571e-12
1,6.499999999999993,6.499999999999993,0,True,0.14201784133911133,3,2.275957200481571e-12
1,5.099999999999998,5.099999999999998,0,True,0.71372389793396,3,2.275957200481571e-12
1,6.8999999999999915,6.8999999999999915,0,True,0.788095235824585,3,2.275957200481571e-12
1,5.999999999999995,5.999999999999995,0,True,0.9708237648010254,3,2.275957200481571e-12
1,6.799999999999992,6.799999999999992,0,True,0.6073594093322754,3,2.275957200481571e-12
1,6.499999999999993,6.499999999999993,0,True,0.8474898338317871,3,2.275957200481571e-12
1,6.699999999999992,6.699999999999992,0,True,0.5972592830657959,3,2.275957200481571e-12
1,6.699999999999992,6.699999999999992,0,True,0.3100259304046631,3,2.275957200481571e-12
1,6.021799999999995,5.999999999999995,0,True,0.579132080078125,3,21.800000000002523
1,9.829199999999982,9.799999999999981,0,True,0.7232365608215332,3,29.200000000002778
1,6.799999999999992,6.799999999999992,0,True,0.7305433750152588,3,2.275957200481571e-12
