iteration,score,sim_time,final_num_agents,extinct,wall_seconds
2,42.20000000000033,42.20000000000033,0,True,0.029044151306152344
2,44.12060000000036,44.10000000000036,0,True,0.08237671852111816
3,69.12680000000034,69.00000000000036,0,True,0.6487777233123779
3,44.52100000000036,44.50000000000036,0,True,0.2317662239074707
3,94.43759999999891,94.19999999999892,0,True,0.3214111328125
4,43.02780000000034,43.00000000000034,0,True,0.5815756320953369
5,67.64660000000043,67.50000000000044,0,True,0.3044459819793701
6,227.15755647244114,228.09999999999133,0,True,0.8349549770355225
6,44.42700000000036,44.40000000000036,0,True,0.45202207565307617
8,70.30040000000028,70.0000000000003,0,True,0.3185577392578125
8,66.02120000000052,65.90000000000053,0,True,0.13904976844787598
9,41.35380000000032,41.30000000000032,0,True,0.6405360698699951
9,44.35040000000036,44.30000000000036,0,True,0.3546302318572998
9,252.3263999999901,249.6999999999901,0,True,0.69596266746521
10,45.74020000000038,45.70000000000038,0,True,0.5275979042053223
11,71.95400000000019,71.7000000000002,0,True,0.23909950256347656
11,49.064600000000425,49.000000000000426,0,True,1.0743043422698975
11,74.927,74.70000000000003,0,True,0.2310960292816162
11,277.17709593585994,276.0999999999943,0,True,0.42827558517456055
13,82.64519999999958,82.49999999999959,0,True,0.559361457824707
15,57.21260000000054,57.10000000000054,0,True,0.11516094207763672
16,47.728400000000406,47.70000000000041,0,True,0.459134578704834
17,228.09849707139466,230.1999999999912,0,True,0.046708106994628906
18,56.88000000000054,56.700000000000536,0,True,0.7690455913543701
18,66.12000000000052,66.00000000000053,0,True,0.01799798011779785
18,271.08799999999326,269.39999999999276,0,True,0.06799697875976562
19,45.32600000000038,45.300000000000374,0,True,0.1206822395324707
19,52.00020000000046,51.800000000000466,0,True,0.37532854080200195
19,344.6700060687358,345.30000000001,0,True,1.5821926593780518
20,44.44860000000036,44.40000000000036,0,True,0.30341529846191406
20,60.276800000000584,60.200000000000585,0,True,0.9205026626586914
21,49.22940000000043,49.20000000000043,0,True,0.6042661666870117
21,43.53260000000035,43.50000000000035,0,True,0.05229544639587402
22,49.43320000000043,49.40000000000043,0,True,1.0712103843688965
22,50.844000000000456,50.80000000000045,0,True,0.14537930488586426
23,46.32180000000039,46.30000000000039,0,True,1.0660624504089355
23,71.10600000000024,71.00000000000024,0,True,0.7567346096038818
25,273.7355999999939,271.8999999999933,0,True,0.42632055282592773
25,77.79199999999986,77.59999999999987,0,True,0.7008070945739746
25,44.621200000000364,44.600000000000364,0,True,0.011629343032836914
26,44.02300000000036,44.000000000000355,0,True,1.0250372886657715
28,47.2000000000004,47.2000000000004,0,True,0.07630586624145508
28,300.9161480884871,299.9999999999997,0,True,0.6780965328216553
29,53.47020000000049,53.40000000000049,0,True,0.3601100444793701
30,227.8260844465825,228.89999999999128,0,True,1.2076385021209717
30,50.85140000000045,50.80000000000045,0,True,0.7868077754974365
31,43.823800000000354,43.80000000000035,0,True,1.0866267681121826
31,247.1765999999903,246.0999999999903,0,True,0.24265074729919434
32,65.00660000000057,64.90000000000059,0,True,0.7434260845184326
33,59.585600000000575,59.500000000000576,0,True,0.16009092330932617
34,47.500000000000405,47.500000000000405,0,True,0.3256680965423584
34,54.55340000000051,54.500000000000504,0,True,0.11062955856323242
35,44.22460000000036,44.20000000000036,0,True,0.5157392024993896
36,81.51359999999964,80.99999999999967,0,True,0.15044808387756348
37,244.39358752855037,245.39999999999034,0,True,0.14594340324401855
37,66.5076000000005,66.4000000000005,0,True,0.15995526313781738
37,44.02060000000036,44.000000000000355,0,True,0.31058740615844727
37,337.3003939605141,338.1000000000084,0,True,0.005522012710571289
38,59.04040000000057,58.800000000000566,0,True,0.5072429180145264
39,84.67679999999946,84.39999999999948,0,True,0.270343542098999
40,46.9534000000004,46.9000000000004,0,True,0.6117281913757324
41,103.07299999999843,102.69999999999844,0,True,0.029822826385498047
42,226.60517492111558,228.09999999999133,0,True,1.1149938106536865
42,93.76599999999895,93.39999999999897,0,True,0.591019868850708
44,277.1411999999946,275.7999999999942,0,True,0.25041842460632324
45,92.22939999999903,91.99999999999905,0,True,0.11793160438537598
45,52.445400000000475,52.400000000000475,0,True,0.4291248321533203
47,82.09079999999962,81.89999999999962,0,True,0.14969515800476074
47,276.7337781487189,275.99999999999426,0,True,1.003000020980835
48,246.08823190891277,245.9999999999903,0,True,1.2608962059020996
48,48.25880000000041,48.200000000000415,0,True,0.47865796089172363
48,39.800400000000295,39.700000000000294,0,True,1.112588882446289
50,86.50359999999937,86.29999999999937,0,True,0.35599207878112793
51,47.45000000000041,47.400000000000404,0,True,0.7376132011413574
51,231.07599999999118,229.29999999999126,0,True,0.26024866104125977
52,42.72280000000034,42.70000000000034,0,True,0.7634108066558838
52,50.345600000000445,50.300000000000445,0,True,0.5291733741760254
53,45.931800000000386,45.90000000000038,0,True,1.1082797050476074
54,226.5574792660239,228.7999999999913,0,True,0.8682270050048828
55,63.218000000000636,63.10000000000063,0,True,0.39870333671569824
56,300.92539010684317,300.6999999999999,0,True,0.4322185516357422
57,64.97060000000059,64.7000000000006,0,True,0.1046755313873291
58,224.47079999999158,223.1999999999916,0,True,0.06075692176818848
58,87.26859999999934,86.79999999999934,0,True,0.5638628005981445
59,74.86940000000001,74.70000000000003,0,True,0.029191255569458008
59,69.24060000000034,69.10000000000035,0,True,0.6923041343688965
60,226.68797192086612,226.09999999999144,0,True,0.4466848373413086
60,46.32600000000039,46.30000000000039,0,True,0.1973404884338379
61,56.25780000000053,56.20000000000053,0,True,0.551891565322876
62,126.21759999999712,125.39999999999715,0,True,0.8469326496124268
62,172.94199999999447,171.99999999999451,0,True,0.7166354656219482
63,80.87699999999968,80.69999999999969,0,True,0.47249674797058105
65,90.32779999999914,90.09999999999916,0,True,0.6242885589599609
66,124.42959999999722,123.59999999999725,0,True,0.009000539779663086
67,283.39994177702664,284.1999999999961,0,True,0.8137097358703613
67,49.676000000000435,49.600000000000435,0,True,0.07883524894714355
68,58.59080000000056,58.50000000000056,0,True,1.1828336715698242
68,43.02480000000034,43.00000000000034,0,True,0.21875238418579102
69,44.42440000000036,44.40000000000036,0,True,0.3562908172607422
69,273.39259999999376,272.0999999999934,0,True,1.1179659366607666
70,62.03580000000061,61.80000000000061,0,True,0.33502697944641113
70,44.82720000000037,44.80000000000037,0,True,0.4841485023498535
71,50.58420000000045,50.50000000000045,0,True,1.0288972854614258
71,45.02200000000037,45.00000000000037,0,True,0.6383240222930908
71,59.00600000000057,58.90000000000057,0,True,0.14176416397094727
71,198.88142115655583,200.79999999999288,0,True,0.04047870635986328
72,46.85680000000039,46.800000000000395,0,True,0.8051245212554932
73,58.495800000000564,58.40000000000056,0,True,0.1020345687866211
73,43.32540000000035,43.300000000000345,0,True,1.1295585632324219
73,76.04379999999996,75.69999999999997,0,True,0.06551432609558105
74,42.52500000000033,42.500000000000334,0,True,0.9739527702331543
75,43.123000000000346,43.10000000000034,0,True,0.8471734523773193
77,60.69060000000059,60.60000000000059,0,True,0.29421472549438477
78,43.40000000000035,43.40000000000035,0,True,0.4523656368255615
79,44.42140000000036,44.40000000000036,0,True,0.6985130310058594
79,345.1428584731683,345.40000000001004,0,True,1.0898995399475098
80,290.8056082299106,291.29999999999774,0,True,0.6940600872039795
80,46.420000000000385,46.30000000000039,0,True,0.9546506404876709
80,281.92259999999567,279.99999999999517,0,True,0.1285538673400879
81,50.64880000000045,50.60000000000045,0,True,0.31850624084472656
82,50.52780000000045,50.50000000000045,0,True,0.04145979881286621
82,50.94960000000045,50.90000000000045,0,True,0.7751610279083252
83,44.82380000000037,44.80000000000037,0,True,0.19371366500854492
83,46.42380000000039,46.40000000000039,0,True,0.9714920520782471
84,50.831800000000456,50.80000000000045,0,True,0.5220744609832764
84,198.50872883097128,200.1999999999929,0,True,0.6856036186218262
85,45.42320000000038,45.400000000000375,0,True,0.7089343070983887
85,78.80059999999979,78.59999999999981,0,True,0.5613868236541748
86,46.523000000000394,46.50000000000039,0,True,0.8559818267822266
86,46.9206000000004,46.9000000000004,0,True,1.2181882858276367
87,283.70681534385096,283.79999999999603,0,True,0.7991728782653809
88,49.733800000000436,49.700000000000436,0,True,0.0
89,58.586600000000566,58.50000000000056,0,True,0.0030014514923095703
89,45.00000000000037,45.00000000000037,0,True,0.13505077362060547
89,92.12339999999905,91.79999999999906,0,True,0.2062971591949463
90,43.723000000000354,43.70000000000035,0,True,0.2667357921600342
91,46.125000000000384,46.100000000000385,0,True,0.4342777729034424
92,52.32260000000048,52.30000000000047,0,True,0.6815879344940186
93,44.22580000000036,44.20000000000036,0,True,0.6955046653747559
93,352.7921580223358,353.40000000001186,0,True,0.8896968364715576
94,224.53107727975075,225.69999999999146,0,True,0.7869760990142822
94,47.600000000000406,47.600000000000406,0,True,1.0577845573425293
95,242.04099999999062,240.7999999999906,0,True,0.3305356502532959
95,82.2033999999996,81.79999999999963,0,True,0.35253429412841797
97,83.87419999999952,83.69999999999952,0,True,0.04401254653930664
98,149.53039999999584,148.79999999999583,0,True,0.3271505832672119
98,64.06000000000064,64.00000000000064,0,True,0.4839963912963867
100,88.70519999999925,88.09999999999927,0,True,0.49323034286499023
100,82.47079999999958,82.2999999999996,0,True,0.4500699043273926
101,50.62520000000045,50.60000000000045,0,True,1.1110670566558838
101,230.4695999999913,229.09999999999127,0,True,0.2594757080078125
102,287.3736789918351,286.1999999999966,0,True,0.6653611660003662
103,49.42760000000043,49.40000000000043,0,True,0.19368791580200195
104,45.60000000000038,45.60000000000038,0,True,0.44829893112182617
104,124.5475999999972,124.19999999999722,0,True,0.2722024917602539
105,46.800000000000395,46.800000000000395,0,True,0.5984442234039307
106,46.622600000000396,46.60000000000039,0,True,0.805516242980957
106,157.14019999999536,156.4999999999954,0,True,0.1825265884399414
107,51.523000000000465,51.50000000000046,0,True,0.9985642433166504
107,62.49640000000061,62.200000000000614,0,True,0.9577441215515137
108,313.7322215711901,314.400000000003,0,True,0.6108899116516113
109,50.24640000000045,50.20000000000044,0,True,0.23176097869873047
110,48.42460000000042,48.40000000000042,0,True,0.5703797340393066
110,91.44559999999908,90.9999999999991,0,True,0.11020112037658691
110,249.65559999999016,248.69999999999015,0,True,0.5863771438598633
111,49.23180000000043,49.20000000000043,0,True,0.7325341701507568
