class,cohort,method,horizon,count,valid_count,valid_fraction,mean_iou,median_iou
helicopter,all_available,hold,8,11,0,0.0,0.0,0.0
helicopter,all_available,hold,9,10,0,0.0,0.0,0.0
helicopter,all_available,hold,10,9,0,0.0,0.0,0.0
helicopter,all_available,hold,11,8,0,0.0,0.0,0.0
helicopter,all_available,hold,12,7,0,0.0,0.0,0.0
helicopter,all_available,hold,13,6,0,0.0,0.0,0.0
helicopter,all_available,hold,14,5,0,0.0,0.0,0.0
helicopter,all_available,hold,15,4,0,0.0,0.0,0.0
helicopter,all_available,hold,16,3,0,0.0,0.0,0.0
helicopter,all_available,hold,17,2,0,0.0,0.0,0.0
helicopter,all_available,hold,18,1,0,0.0,0.0,0.0
helicopter,all_available,velocity,1,17,17,1.0,0.9674057120565684,0.9690659725698269
helicopter,all_available,velocity,2,16,16,1.0,0.919743436221994,0.9222575456378017
helicopter,all_available,velocity,3,15,15,1.0,0.8542470770845972,0.8651102464332037
helicopter,all_available,velocity,4,14,14,1.0,0.780809709300162,0.7913741492176607
helicopter,all_available,velocity,5,13,13,1.0,0.6995178386746536,0.7109364412522022
helicopter,all_available,velocity,6,12,12,1.0,0.6155699055900299,0.622560575047698
helicopter,all_available,velocity,7,11,9,0.8181818181818182,0.5305035142588569,0.5322438717787555
helicopter,all_available,velocity,8,10,0,0.0,0.4414885827960995,0.4518965200150459
helicopter,all_available,velocity,9,9,0,0.0,0.3592972037005639,0.36763738563654846
helicopter,all_available,velocity,10,8,0,0.0,0.283361822444403,0.2825225250978013
helicopter,all_available,velocity,11,7,0,0.0,0.20696489822758232,0.20359598096245374
helicopter,all_available,velocity,12,6,0,0.0,0.1301069230907651,0.13011354073428044
helicopter,all_available,velocity,13,5,0,0.0,0.04649316325844942,0.058435127104655
helicopter,all_available,velocity,14,4,0,0.0,0.0,0.0
helicopter,all_available,velocity,15,3,0,0.0,0.0,0.0
helicopter,all_available,velocity,16,2,0,0.0,0.0,0.0
helicopter,all_available,velocity,17,1,0,0.0,0.0,0.0
jammer,all_available,hold,1,12,0,0.0,0.0,0.0
jammer,all_available,hold,2,11,0,0.0,0.0,0.0
jammer,all_available,hold,3,10,0,0.0,0.0,0.0
jammer,all_available,hold,4,9,0,0.0,0.0,0.0
jammer,all_available,hold,5,8,0,0.0,0.0,0.0
jammer,all_available,hold,6,7,0,0.0,0.0,0.0
jammer,all_available,hold,7,6,0,0.0,0.0,0.0
jammer,all_available,hold,8,5,0,0.0,0.0,0.0
jammer,all_available,hold,9,4,0,0.0,0.0,0.0
jammer,all_available,hold,10,3,0,0.0,0.0,0.0
jammer,all_available,hold,11,2,0,0.0,0.0,0.0
jammer,all_available,hold,12,1,0,0.0,0.0,0.0
jammer,all_available,velocity,1,11,11,1.0,0.9252757959279994,0.928843710292249
jammer,all_available,velocity,2,10,10,1.0,0.8289690374186757,0.8421143753719634
jammer,all_available,velocity,3,9,9,1.0,0.6992739830377622,0.6946045049764275
jammer,all_available,velocity,4,8,7,0.875,0.5712252261388978,0.5741284000634557
jammer,all_available,velocity,5,7,1,0.14285714285714285,0.43948408811534323,0.44285714285714284
jammer,all_available,velocity,6,6,0,0.0,0.2897276717314789,0.29335472258086315
jammer,all_available,velocity,7,5,0,0.0,0.16594411116990898,0.17801476620180476
jammer,all_available,velocity,8,4,0,0.0,0.04976879478641205,0.05630188524925367
jammer,all_available,velocity,9,3,0,0.0,0.0,0.0
jammer,all_available,velocity,10,2,0,0.0,0.0,0.0
jammer,all_available,velocity,11,1,0,0.0,0.0,0.0
jet_plane,all_available,hold,1,21,0,0.0,0.15661172459725928,0.1524390243902439
jet_plane,all_available,hold,2,20,0,0.0,0.0,0.0
jet_plane,all_available,hold,3,19,0,0.0,0.0,0.0
jet_plane,all_available,hold,4,18,0,0.0,0.0,0.0
jet_plane,all_available,hold,5,17,0,0.0,0.0,0.0
jet_plane,all_available,hold,6,16,0,0.0,0.0,0.0
jet_plane,all_available,hold,7,15,0,0.0,0.0,0.0
jet_plane,all_available,hold,8,14,0,0.0,0.0,0.0
jet_plane,all_available,hold,9,13,0,0.0,0.0,0.0
jet_plane,all_available,hold,10,12,0,0.0,0.0,0.0
jet_plane,all_available,hold,11,11,0,0.0,0.0,0.0
jet_plane,all_available,hold,12,10,0,0.0,0.0,0.0
jet_plane,all_available,hold,13,9,0,0.0,0.0,0.0
jet_plane,all_available,hold,14,8,0,0.0,0.0,0.0
jet_plane,all_available,hold,15,7,0,0.0,0.0,0.0
jet_plane,all_available,hold,16,6,0,0.0,0.0,0.0
jet_plane,all_available,hold,17,5,0,0.0,0.0,0.0
jet_plane,all_available,hold,18,4,0,0.0,0.0,0.0
jet_plane,all_available,hold,19,3,0,0.0,0.0,0.0
jet_plane,all_available,hold,20,2,0,0.0,0.0,0.0
jet_plane,all_available,hold,21,1,0,0.0,0.0,0.0
jet_plane,all_available,velocity,1,20,20,1.0,0.9508862070078367,0.966010514080391
jet_plane,all_available,velocity,2,19,18,0.9473684210526315,0.8989303376379832,0.9253084361453818
jet_plane,all_available,velocity,3,18,17,0.9444444444444444,0.8356770983905406,0.868945930641396
jet_plane,all_available,velocity,4,17,16,0.9411764705882353,0.7663621805858076,0.7976350845681784
jet_plane,all_available,velocity,5,16,15,0.9375,0.69016376653701,0.7237781725119392
jet_plane,all_available,velocity,6,15,14,0.9333333333333333,0.6052040127721512,0.6367135811379767
jet_plane,all_available,velocity,7,14,13,0.9285714285714286,0.5255671430198985,0.560280461081935
jet_plane,all_available,velocity,8,13,0,0.0,0.4423140185244429,0.47164696953269003
jet_plane,all_available,velocity,9,12,0,0.0,0.362172977350121,0.3859495882773761
jet_plane,all_available,velocity,10,11,0,0.0,0.28340185518104916,0.30916245081506466
jet_plane,all_available,velocity,11,10,0,0.0,0.20728753014257767,0.22438836301654796
jet_plane,all_available,velocity,12,9,0,0.0,0.14195901340315922,0.15309672929714682
jet_plane,all_available,velocity,13,8,0,0.0,0.07626792429646886,0.07601955856498922
jet_plane,all_available,velocity,14,7,0,0.0,0.021405700469418337,0.00961153384060873
jet_plane,all_available,velocity,15,6,0,0.0,0.0008096619661291411,0.0
jet_plane,all_available,velocity,16,5,0,0.0,0.0,0.0
jet_plane,all_available,velocity,17,4,0,0.0,0.0,0.0
jet_plane,all_available,velocity,18,3,0,0.0,0.0,0.0
jet_plane,all_available,velocity,19,2,0,0.0,0.0,0.0
jet_plane,all_available,velocity,20,1,0,0.0,0.0,0.0
large_launcher,all_available,hold,1,24,0,0.0,0.22069806706371775,0.22142991926724764
large_launcher,all_available,hold,2,23,0,0.0,0.0,0.0
large_launcher,all_available,hold,3,22,0,0.0,0.0,0.0
large_launcher,all_available,hold,4,21,0,0.0,0.0,0.0
large_launcher,all_available,hold,5,20,0,0.0,0.0,0.0
large_launcher,all_available,hold,6,19,0,0.0,0.0,0.0
large_launcher,all_available,hold,7,18,0,0.0,0.0,0.0
large_launcher,all_available,hold,8,17,0,0.0,0.0,0.0
large_launcher,all_available,hold,9,16,0,0.0,0.0,0.0
large_launcher,all_available,hold,10,15,0,0.0,0.0,0.0
large_launcher,all_available,hold,11,14,0,0.0,0.0,0.0
large_launcher,all_available,hold,12,13,0,0.0,0.0,0.0
large_launcher,all_available,hold,13,12,0,0.0,0.0,0.0
large_launcher,all_available,hold,14,11,0,0.0,0.0,0.0
large_launcher,all_available,hold,15,10,0,0.0,0.0,0.0
large_launcher,all_available,hold,16,9,0,0.0,0.0,0.0
large_launcher,all_available,hold,17,8,0,0.0,0.0,0.0
large_launcher,all_available,hold,18,7,0,0.0,0.0,0.0
large_launcher,all_available,hold,19,6,0,0.0,0.0,0.0
large_launcher,all_available,hold,20,5,0,0.0,0.0,0.0
