class,origin_frame,target_frame,horizon,method,common_cohort,iou,valid_at_050,prediction_legal,origin_boundary,target_boundary
condor,7,10,3,velocity,True,0.7732609658839167,True,True,0,1
condor,8,9,1,hold,True,0.45716817099507173,False,True,0,1
condor,8,10,2,hold,True,0.06971079817464094,False,True,0,1
condor,8,9,1,velocity,True,0.9781420765027322,True,True,0,1
condor,8,10,2,velocity,True,0.8814935064935064,True,True,0,1
condor,9,10,1,hold,True,0.3096090308370044,False,True,1,1
condor,9,10,1,velocity,True,0.9238057639163048,True,True,1,1
hangar,19,20,1,hold,False,0.09616101379053299,False,True,1,1
hangar,19,21,2,hold,False,0.04743199450063832,False,True,1,1
hangar,19,22,3,hold,False,0.0,False,True,1,0
hangar,19,23,4,hold,False,0.0,False,True,1,0
hangar,19,24,5,hold,False,0.0,False,True,1,0
hangar,20,21,1,hold,True,0.4806015901906313,False,True,1,1
hangar,20,22,2,hold,True,0.11607431863792322,False,True,1,0
hangar,20,23,3,hold,True,0.0,False,True,1,0
hangar,20,24,4,hold,True,0.0,False,True,1,0
hangar,20,21,1,velocity,True,0.989247311827957,True,True,1,1
hangar,20,22,2,velocity,True,0.7602179836512262,True,True,1,0
hangar,20,23,3,velocity,True,0.5674683666570076,True,True,1,0
hangar,20,24,4,velocity,True,0.443687374749499,False,True,1,0
hangar,21,22,1,hold,True,0.41306300526113177,False,True,1,0
hangar,21,23,2,hold,True,0.08390177353342429,False,True,1,0
hangar,21,24,3,hold,True,0.0,False,True,1,0
hangar,21,22,1,velocity,True,0.7618296529968455,True,True,1,0
hangar,21,23,2,velocity,True,0.5661120409569755,True,True,1,0
hangar,21,24,3,velocity,True,0.4447938367202547,False,True,1,0
hangar,22,23,1,hold,True,0.37865748709122204,False,True,0,0
hangar,22,24,2,hold,True,0.07714915503306392,False,True,0,0
hangar,22,23,1,velocity,True,0.8835616438356164,True,True,0,0
hangar,22,24,2,velocity,True,0.7777281571979967,True,True,0,0
hangar,23,24,1,hold,True,0.373449236222466,False,True,0,0
hangar,23,24,1,velocity,True,0.9795893768331392,True,True,0,0
helicopter,0,1,1,hold,False,0.16223920426977195,False,True,0,0
helicopter,0,2,2,hold,False,0.0,False,True,0,0
helicopter,0,3,3,hold,False,0.0,False,True,0,0
helicopter,0,4,4,hold,False,0.0,False,True,0,0
helicopter,0,5,5,hold,False,0.0,False,True,0,0
helicopter,0,6,6,hold,False,0.0,False,True,0,0
helicopter,0,7,7,hold,False,0.0,False,True,0,0
helicopter,0,8,8,hold,False,0.0,False,True,0,0
helicopter,0,9,9,hold,False,0.0,False,True,0,0
helicopter,0,10,10,hold,False,0.0,False,True,0,0
helicopter,0,11,11,hold,False,0.0,False,True,0,0
helicopter,0,12,12,hold,False,0.0,False,True,0,0
helicopter,0,13,13,hold,False,0.0,False,True,0,0
helicopter,0,14,14,hold,False,0.0,False,True,0,0
helicopter,0,15,15,hold,False,0.0,False,True,0,0
helicopter,0,16,16,hold,False,0.0,False,True,0,0
helicopter,0,17,17,hold,False,0.0,False,True,0,0
helicopter,0,18,18,hold,False,0.0,False,True,0,1
helicopter,1,2,1,hold,True,0.1592735933313486,False,True,0,0
helicopter,1,3,2,hold,True,0.0,False,True,0,0
helicopter,1,4,3,hold,True,0.0,False,True,0,0
helicopter,1,5,4,hold,True,0.0,False,True,0,0
helicopter,1,6,5,hold,True,0.0,False,True,0,0
helicopter,1,7,6,hold,True,0.0,False,True,0,0
helicopter,1,8,7,hold,True,0.0,False,True,0,0
helicopter,1,9,8,hold,True,0.0,False,True,0,0
helicopter,1,10,9,hold,True,0.0,False,True,0,0
helicopter,1,11,10,hold,True,0.0,False,True,0,0
helicopter,1,12,11,hold,True,0.0,False,True,0,0
helicopter,1,13,12,hold,True,0.0,False,True,0,0
helicopter,1,14,13,hold,True,0.0,False,True,0,0
helicopter,1,15,14,hold,True,0.0,False,True,0,0
helicopter,1,16,15,hold,True,0.0,False,True,0,0
helicopter,1,17,16,hold,True,0.0,False,True,0,0
helicopter,1,18,17,hold,True,0.0,False,True,0,1
helicopter,1,2,1,velocity,True,0.9690659725698269,True,True,0,0
helicopter,1,3,2,velocity,True,0.9273984442523768,True,True,0,0
helicopter,1,4,3,velocity,True,0.8690095846645367,True,True,0,0
helicopter,1,5,4,velocity,True,0.8053889613211647,True,True,0,0
helicopter,1,6,5,velocity,True,0.7179278325323776,True,True,0,0
helicopter,1,7,6,velocity,True,0.6353366470854044,True,True,0,0
helicopter,1,8,7,velocity,True,0.5507430100711318,True,True,0,0
helicopter,1,9,8,velocity,True,0.45750994586838845,False,True,0,0
helicopter,1,10,9,velocity,True,0.36763738563654846,False,True,0,0
helicopter,1,11,10,velocity,True,0.2819577947188156,False,True,0,0
helicopter,1,12,11,velocity,True,0.20253551244844967,False,True,0,0
helicopter,1,13,12,velocity,True,0.12652216841412384,False,True,0,0
helicopter,1,14,13,velocity,True,0.05538819073850921,False,True,0,0
helicopter,1,15,14,velocity,True,0.0,False,True,0,0
helicopter,1,16,15,velocity,True,0.0,False,True,0,0
helicopter,1,17,16,velocity,True,0.0,False,True,0,0
helicopter,1,18,17,velocity,True,0.0,False,True,0,1
helicopter,2,3,1,hold,True,0.15807962529274006,False,True,0,0
helicopter,2,4,2,hold,True,0.0,False,True,0,0
helicopter,2,5,3,hold,True,0.0,False,True,0,0
helicopter,2,6,4,hold,True,0.0,False,True,0,0
helicopter,2,7,5,hold,True,0.0,False,True,0,0
helicopter,2,8,6,hold,True,0.0,False,True,0,0
helicopter,2,9,7,hold,True,0.0,False,True,0,0
