class,origin_frame,method,available_future,valid_prefix_frames,valid_prefix_s,failure_observed,right_censored
jet_plane,17,velocity,7,7,2.3333333333333335,False,True
jet_plane,18,hold,6,0,0.0,True,False
jet_plane,18,velocity,6,6,2.0,False,True
jet_plane,19,hold,5,0,0.0,True,False
jet_plane,19,velocity,5,5,1.6666666666666667,False,True
jet_plane,20,hold,4,0,0.0,True,False
jet_plane,20,velocity,4,4,1.3333333333333333,False,True
jet_plane,21,hold,3,0,0.0,True,False
jet_plane,21,velocity,3,3,1.0,False,True
jet_plane,22,hold,2,0,0.0,True,False
jet_plane,22,velocity,2,2,0.6666666666666666,False,True
jet_plane,23,hold,1,0,0.0,True,False
jet_plane,23,velocity,1,1,0.3333333333333333,False,True
large_launcher,0,hold,24,0,0.0,True,False
large_launcher,1,hold,23,0,0.0,True,False
large_launcher,1,velocity,23,8,2.6666666666666665,True,False
large_launcher,2,hold,22,0,0.0,True,False
large_launcher,2,velocity,22,8,2.6666666666666665,True,False
large_launcher,3,hold,21,0,0.0,True,False
large_launcher,3,velocity,21,8,2.6666666666666665,True,False
large_launcher,4,hold,20,0,0.0,True,False
large_launcher,4,velocity,20,8,2.6666666666666665,True,False
large_launcher,5,hold,19,0,0.0,True,False
large_launcher,5,velocity,19,8,2.6666666666666665,True,False
large_launcher,6,hold,18,0,0.0,True,False
large_launcher,6,velocity,18,8,2.6666666666666665,True,False
large_launcher,7,hold,17,0,0.0,True,False
large_launcher,7,velocity,17,8,2.6666666666666665,True,False
large_launcher,8,hold,16,0,0.0,True,False
large_launcher,8,velocity,16,8,2.6666666666666665,True,False
large_launcher,9,hold,15,0,0.0,True,False
large_launcher,9,velocity,15,8,2.6666666666666665,True,False
large_launcher,10,hold,14,0,0.0,True,False
large_launcher,10,velocity,14,7,2.3333333333333335,True,False
large_launcher,11,hold,13,0,0.0,True,False
large_launcher,11,velocity,13,8,2.6666666666666665,True,False
large_launcher,12,hold,12,0,0.0,True,False
large_launcher,12,velocity,12,7,2.3333333333333335,True,False
large_launcher,13,hold,11,0,0.0,True,False
large_launcher,13,velocity,11,7,2.3333333333333335,True,False
large_launcher,14,hold,10,0,0.0,True,False
large_launcher,14,velocity,10,7,2.3333333333333335,True,False
large_launcher,15,hold,9,0,0.0,True,False
large_launcher,15,velocity,9,8,2.6666666666666665,True,False
large_launcher,16,hold,8,0,0.0,True,False
large_launcher,16,velocity,8,7,2.3333333333333335,True,False
large_launcher,17,hold,7,0,0.0,True,False
large_launcher,17,velocity,7,7,2.3333333333333335,False,True
large_launcher,18,hold,6,0,0.0,True,False
large_launcher,18,velocity,6,6,2.0,False,True
large_launcher,19,hold,5,0,0.0,True,False
large_launcher,19,velocity,5,5,1.6666666666666667,False,True
large_launcher,20,hold,4,0,0.0,True,False
