pair_id,size_bin,target_short_side_l0,source_class,source_frame,helsinki_background_id,hosted_background_id,hosted_background_type,target_x1,target_y1,target_x2,target_y2,target_pixels_equal,helsinki_rank_iou_030,hosted_rank_iou_030,rank_delta_iou_030,helsinki_score_iou_030,hosted_score_iou_030,score_delta_iou_030,score_ratio_iou_030,helsinki_max_iou,hosted_max_iou,iou_delta,helsinki_proposal_count,hosted_proposal_count,helsinki_background_proposals,hosted_background_proposals,crosses_out_of_top1_iou_030,crosses_into_top1_iou_030,crosses_out_of_top5_iou_030,crosses_into_top5_iou_030,crosses_out_of_top20_iou_030,crosses_into_top20_iou_030,crosses_below_production_threshold,crosses_above_production_threshold
p0026,lt8,6,jammer,1,frame_000014,00145,harbor_industrial,922.0,500.0,928.0,508.0,True,,,0,0.0,0.0,0.0,,0.060712637318796614,0.22472813706620992,0.1640154997474133,1940,3347,1940,3347,False,False,False,False,False,False,False,False
p0027,lt8,6,jammer,1,frame_000024,00245,dense_urban_blocks,112.0,266.0,118.0,274.0,True,,,0,0.0,0.0,0.0,,0.018194071787238073,0.24341058701227328,0.22521651522503522,1554,2828,1554,2828,False,False,False,False,False,False,False,False
p0028,8to16,12,jammer,1,frame_000000,00000,open_grass_road,112.0,338.0,124.0,354.0,True,,5,-2967,0.0,0.0027100741863250732,0.0027100741863250732,,0.2847019269300783,0.4384992660044427,0.15379733907436444,2360,2971,2360,2970,False,False,False,True,False,True,False,False
p0029,8to16,12,jammer,1,frame_000009,00095,river_industrial,192.0,492.0,204.0,508.0,True,42,689,647,0.0016178786754608154,0.0003503262996673584,-0.001267552375793457,0.2165343452391917,0.6877754382564891,0.3765117192326437,-0.3112637190238454,2106,2348,2102,2345,False,False,False,False,False,False,False,False
p0030,8to16,12,jammer,1,frame_000014,00145,harbor_industrial,32.0,415.0,44.0,431.0,True,1104,926,-178,0.0002244114875793457,0.0002639591693878174,3.954768180847168e-05,1.1762284196547146,0.4066456885748334,0.311385725233174,-0.09525996334165943,1949,3349,1948,3348,False,False,False,False,False,False,False,False
p0031,8to16,12,jammer,1,frame_000024,00245,dense_urban_blocks,835.0,185.0,847.0,201.0,True,,1602,-1210,0.0,0.00015148520469665527,0.00015148520469665527,,0.07901723221698673,0.4820349766564112,0.4030177444394245,1544,2811,1544,2808,False,False,False,False,False,False,False,False
p0032,gt16,24,jammer,1,frame_000000,00000,open_grass_road,190.0,182.0,214.0,215.0,True,262,20,-242,0.0009015798568725586,0.001275390386581421,0.0003738105297088623,1.414617215390718,0.602668505743464,0.5760865931815402,-0.02658191256192377,2359,2994,2356,2991,False,False,False,False,False,True,False,False
p0033,gt16,24,jammer,1,frame_000009,00095,river_industrial,32.0,324.0,56.0,357.0,True,282,3,-279,0.0007372498512268066,0.004747956991195679,0.004010707139968872,6.440092165898617,0.846828193352974,0.6236762335019671,-0.2231519598510069,2128,2391,2126,2384,False,False,False,True,False,True,False,False
p0034,gt16,24,jammer,1,frame_000014,00145,harbor_industrial,111.0,395.0,135.0,428.0,True,293,453,160,0.0006735026836395264,0.0003553032875061035,-0.00031819939613342285,0.5275454666135669,0.6183494824173605,0.49673316654600536,-0.12161631587135519,1973,3326,1970,3322,False,False,False,False,False,False,False,False
p0035,gt16,24,jammer,1,frame_000024,00245,dense_urban_blocks,111.0,253.0,135.0,286.0,True,11,184,173,0.003514528274536133,0.0008932650089263916,-0.002621263265609741,0.2541635574248694,0.6430803437972318,0.44213517376361766,-0.20094517003361412,1599,2868,1592,2865,False,False,False,False,True,False,False,False
p0036,lt8,6,large_launcher,9,frame_000000,00000,open_grass_road,112.0,345.0,120.0,351.0,True,,,0,0.0,0.0,0.0,,0.2779785614926973,0.2940210639075618,0.01604250241486449,2345,2968,2345,2968,False,False,False,False,False,False,False,False
p0037,lt8,6,large_launcher,9,frame_000009,00095,river_industrial,193.0,502.0,201.0,508.0,True,,,0,0.0,0.0,0.0,,0.20015598360789144,0.0074499314894713176,-0.19270605211842012,2107,2336,2107,2336,False,False,False,False,False,False,False,False
p0038,lt8,6,large_launcher,9,frame_000014,00145,harbor_industrial,32.0,423.0,40.0,429.0,True,,,0,0.0,0.0,0.0,,0.2985146211813934,0.231042186584454,-0.06747243459693938,1956,3331,1956,3331,False,False,False,False,False,False,False,False
p0039,lt8,6,large_launcher,9,frame_000024,00245,dense_urban_blocks,839.0,188.0,847.0,194.0,True,,,0,0.0,0.0,0.0,,0.00839675618491238,0.02969053462754379,0.02129377844263141,1549,2795,1549,2795,False,False,False,False,False,False,False,False
p0040,8to16,12,large_launcher,9,frame_000000,00000,open_grass_road,191.0,496.0,208.0,508.0,True,14,14,0,0.004798829555511475,0.0017349720001220703,-0.0030638575553894043,0.3615406590403796,0.4064749228172336,0.4289271116774719,0.02245218886023831,2370,2942,2367,2941,False,False,False,False,False,False,False,False
p0041,8to16,12,large_launcher,9,frame_000009,00095,river_industrial,111.0,496.0,128.0,508.0,True,19,198,179,0.004762560129165649,0.0009211599826812744,-0.003841400146484375,0.1934169769406464,0.6249102982386469,0.7646045310840374,0.1396942328453905,2134,2347,2131,2344,False,False,False,False,True,False,False,False
p0042,8to16,12,large_launcher,9,frame_000014,00145,harbor_industrial,32.0,341.0,49.0,353.0,True,561,5,-556,0.00034615397453308105,0.001558542251586914,0.001212388277053833,4.5024537236332325,0.6547927328077766,0.4860309978373299,-0.16876173497044672,1949,3321,1948,3320,False,False,False,True,False,True,False,False
p0043,8to16,12,large_launcher,9,frame_000024,00245,dense_urban_blocks,111.0,264.0,128.0,276.0,True,145,2,-143,0.0008956789970397949,0.0078026652336120605,0.006906986236572266,8.71145271844014,0.46112298538887775,0.39890050824810425,-0.0622224771407735,1572,2824,1571,2823,False,False,False,True,False,True,False,False
p0044,gt16,24,large_launcher,9,frame_000000,00000,open_grass_road,117.0,333.0,150.0,357.0,True,53,6,-47,0.0013642311096191406,0.002560347318649292,0.0011961162090301514,1.8767694861936386,0.5574833569645092,0.6848608343405952,0.12737747737608596,2413,2981,2409,2979,False,False,False,False,False,True,False,False
p0045,gt16,24,large_launcher,9,frame_000009,00095,river_industrial,41.0,484.0,74.0,508.0,True,57,273,216,0.0012812912464141846,0.0008683204650878906,-0.00041297078132629395,0.6776917172562975,0.6459409864457566,0.6807740098776793,0.03483302343192274,2124,2366,2117,2362,False,False,False,False,False,False,False,False
p0046,gt16,24,large_launcher,9,frame_000014,00145,harbor_industrial,886.0,484.0,919.0,508.0,True,46,4,-42,0.001898258924484253,0.0021009445190429688,0.00020268559455871582,1.1067744720935708,0.4670471763872793,0.7213965752103648,0.25434939882308555,1963,3363,1959,3358,False,False,False,True,False,True,False,False
