backend,budget,image,sample_stride,state_reset,proposals_before_budget,proposals_after_budget,proposal_score_p10,proposal_score_p50,proposal_score_p90,recognition_crops,rejected_as_background,rejection_fraction,observations,top_class_distribution,top_posterior_p50,top_posterior_p90,objectness_p50,proposal_ms,recognition_ms,discovery_recognition_ms
v3_standard,24,00120.png,5,True,29,24,0.010920637845993042,0.01750132441520691,0.09137494564056396,24,8,0.3333333333333333,16,"{""jammer"": 6, ""jet_plane"": 2, ""large_launcher"": 5, ""large_tower"": 2, ""medium_launcher"": 1, ""medium_plane"": 3, ""small_launcher"": 1, ""ta-ta"": 3, ""tank"": 1}",0.20068249999999999,0.279502,0.7136545000000001,156.75320000445936,227.6075999980094,384.36080000246875
v3_standard,24,00125.png,5,True,38,24,0.011117112636566163,0.019952520728111267,0.0541801422834397,24,14,0.5833333333333334,10,"{""hangar"": 2, ""jammer"": 4, ""jet_plane"": 2, ""large_launcher"": 3, ""medium_launcher"": 1, ""medium_plane"": 1, ""small_launcher"": 1, ""small_plane"": 1, ""small_tower"": 1, ""spacecraft"": 4, ""ta-ta"": 3, ""tank"": 1}",0.19805850000000003,0.3038183,0.27268800000000004,158.9090000052238,212.22319999651518,371.13220000173897
v3_standard,24,00130.png,5,True,48,24,0.010571053624153138,0.014919906854629517,0.05344345569610597,24,9,0.375,15,"{""condor"": 1, ""hangar"": 3, ""jammer"": 5, ""jet_plane"": 3, ""large_launcher"": 1, ""medium_plane"": 4, ""small_launcher"": 1, ""small_plane"": 1, ""ta-ta"": 3, ""tank"": 2}",0.19326,0.3051465,0.6541129999999999,177.1872999961488,244.81580000428949,422.0031000004383
v3_standard,24,00135.png,5,True,48,24,0.010612213611602783,0.01674284040927887,0.058165162801742595,24,8,0.3333333333333333,16,"{""hangar"": 3, ""jammer"": 11, ""jet_plane"": 1, ""large_tower"": 1, ""medium_plane"": 3, ""small_tower"": 3, ""ta-ta"": 1, ""tank"": 1}",0.23136,0.3219255,0.7538755,177.8022999933455,255.76970000111032,433.57199999445584
v3_standard,24,00140.png,5,True,55,24,0.011603707075119018,0.021897166967391968,0.10911120772361765,24,9,0.375,15,"{""condor"": 1, ""hangar"": 1, ""jammer"": 9, ""large_launcher"": 1, ""large_tower"": 1, ""medium_plane"": 6, ""small_tower"": 1, ""ta-ta"": 1, ""tank"": 3}",0.2580605,0.4431092,0.720443,167.8807999996934,226.4883000025293,394.3691000022227
v3_standard,24,00145.png,5,True,65,24,0.011117029190063476,0.018259376287460327,0.06341742873191834,24,9,0.375,15,"{""hangar"": 1, ""jammer"": 9, ""large_launcher"": 1, ""medium_launcher"": 1, ""medium_plane"": 4, ""small_tower"": 1, ""tank"": 7}",0.24522899999999997,0.46827359999999996,0.6964435,161.92279999086168,235.88720000407193,397.8099999949336
v3_standard,24,00150.png,5,True,54,24,0.010981976985931396,0.01859000325202942,0.07564507126808172,24,12,0.5,12,"{""hangar"": 3, ""jammer"": 8, ""jet_plane"": 2, ""medium_launcher"": 1, ""medium_plane"": 3, ""small_launcher"": 2, ""spacecraft"": 2, ""ta-ta"": 1, ""tank"": 2}",0.22934500000000002,0.4003736,0.4506745,167.01790000661276,235.8278000028804,402.84570000949316
v3_standard,24,00155.png,5,True,36,24,0.011433586478233337,0.017774254083633423,0.06875662505626678,24,10,0.4166666666666667,14,"{""jammer"": 13, ""medium_launcher"": 2, ""medium_plane"": 4, ""small_launcher"": 1, ""small_tower"": 1, ""spacecraft"": 1, ""ta-ta"": 2}",0.2450205,0.3535782,0.7643815,164.96989999723155,255.72800000372808,420.69790000095963
v3_standard,24,00160.png,5,True,44,24,0.010950523614883422,0.01593339443206787,0.05816125273704529,24,4,0.16666666666666666,20,"{""jammer"": 10, ""jet_plane"": 2, ""large_launcher"": 1, ""medium_launcher"": 1, ""medium_plane"": 3, ""small_tower"": 1, ""spacecraft"": 2, ""ta-ta"": 3, ""tank"": 1}",0.2134235,0.3090847,0.7296225000000001,177.35699999320786,243.97359999420587,421.33059998741373
v3_standard,24,00165.png,5,True,37,24,0.010667264461517334,0.016150832176208496,0.04069701433181762,24,10,0.4166666666666667,14,"{""hangar"": 5, ""jammer"": 10, ""large_tower"": 3, ""medium_launcher"": 1, ""medium_plane"": 1, ""small_launcher"": 1, ""small_tower"": 1, ""ta-ta"": 2}",0.214083,0.33516199999999996,0.705376,217.33430000313092,307.5527000037255,524.8870000068564
