dataset,frame_index,record_present,sequence_id,request_frame,resolution_level,center_x,center_y,camera_decision_reason,camera_requested_level,camera_requested_center_x,camera_requested_center_y,camera_feedback_present,camera_feedback_reason,proposal_count,crops,rejected_as_background,rejection_fraction,mean_objectness,mean_margin,observation_count,observation_top_posterior_mean,bank_tracks,bank_matched,bank_created,bank_removed,confirmed_tracks,tentative_tracks,track_age_mean,track_age_max,track_identity_confidence_mean,track_posterior_gap_mean,output_candidates,output_emitted,output_dropped_invalid,output_distinct_classes,output_secondary_guesses,gmc_model,gmc_ok,gmc_reason,gmc_quality,gmc_inliers,gmc_candidates,gmc_inlier_ratio,gmc_translation_x,gmc_translation_y,gmc_translation_magnitude,total_latency_ms
hosted,18,True,c6ae6aa777ba4e949a81d31e46a5f55f,19,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.9962,0.0352,2,0.28195000000000003,3,1,1,0,1,2,0.6666666666666666,2,0.1003,0.01223333333333334,9,9,0,5,6,affine,True,accepted,1.0,295,295,1.0,-14.38,52.26,54.20232467339385,110.51
hosted,19,True,c6ae6aa777ba4e949a81d31e46a5f55f,20,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9917,0.0366,1,0.2472,2,1,0,1,1,1,0.5,1,0.11285,0.020200000000000003,6,6,0,5,4,affine,True,accepted,0.9897,288,291,0.9897,-14.46,52.46,54.416387237669504,114.12
hosted,20,True,c6ae6aa777ba4e949a81d31e46a5f55f,21,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9894,0.0425,1,0.2678,2,1,0,0,1,1,1.0,2,0.12154999999999999,0.0252,6,6,0,5,4,affine,True,accepted,0.9933,297,299,0.9933,-14.35,52.34,54.27152199818981,114.35
hosted,21,True,c6ae6aa777ba4e949a81d31e46a5f55f,22,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9151,0.0327,1,0.2098,1,1,0,1,1,0,0.0,0,0.1632,0.05340000000000002,3,3,0,3,2,affine,True,accepted,0.9966,291,292,0.9966,-14.72,52.61,54.63049057074264,113.99
hosted,22,True,c6ae6aa777ba4e949a81d31e46a5f55f,23,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9886,0.034,1,0.2286,1,1,0,0,1,0,0.0,0,0.1706,0.056400000000000006,3,3,0,3,2,affine,True,accepted,0.9933,296,298,0.9933,-14.64,52.21,54.223737421907764,112.77
hosted,23,True,c6ae6aa777ba4e949a81d31e46a5f55f,24,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9774,0.0135,1,0.1968,1,1,0,0,1,0,0.0,0,0.165,0.04310000000000001,3,3,0,3,2,affine,True,accepted,0.9863,289,293,0.9863,-14.45,52.4,54.35588744561163,113.12
hosted,24,True,c6ae6aa777ba4e949a81d31e46a5f55f,25,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9681,0.006,1,0.1841,1,1,0,0,1,0,0.0,0,0.1615,0.0369,3,3,0,3,2,affine,True,accepted,0.9896,285,288,0.9896,-14.6,52.56,54.550101741426666,114.49
hosted,25,True,c6ae6aa777ba4e949a81d31e46a5f55f,26,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.832,0.0085,2,0.1789,2,1,1,0,1,1,0.0,0,0.1164,0.01745,6,6,0,6,4,affine,True,accepted,0.9898,291,294,0.9898,-14.52,52.3,54.27817609315921,110.51
hosted,26,True,c6ae6aa777ba4e949a81d31e46a5f55f,27,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.8881,0.012,2,0.18785000000000002,2,2,0,0,2,0,0.0,0,0.12,0.017400000000000006,6,6,0,6,4,affine,True,accepted,0.9897,289,292,0.9897,-14.53,52.17,54.155607281240975,108.25
hosted,27,True,c6ae6aa777ba4e949a81d31e46a5f55f,28,0,1920,1080,hold-current-view,,,,False,,2,2,0,0.0,0.8528,0.0105,2,0.15460000000000002,3,1,1,0,2,1,0.3333333333333333,1,0.10303333333333332,0.011333333333333334,9,9,0,7,6,affine,True,accepted,0.9932,292,294,0.9932,-14.55,52.19,54.18024178609763,108.12
